est_id,DBA Name,bizname,Full Address,formatted_address,name_score,AddressNumber_score,StreetName_score,StreetNamePostType_score,ZipCode_score,dist_miles
8,CREEK CASINO MONTGOMERY,WIND CREEK MONTGOMERY,"1801 EDDIE TULLIS DR.  MONTGOMERY, AL 36117","1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",0.9404397056180456,1.0,1.0,0.0,1.0,0.06674445377068716
9,CCS WETUMPKA/RIVERSIDE SMOKE SHOP,CREEK CONVENIENCE STORE WETUMPKA,"102 RIVER OAKS DR.  WETUMPKA, AL 36092","89 River Oaks Dr, Wetumpka, AL 36092, USA",0.0,0.0,1.0,1.0,1.0,0.06998437191089096
13,SPEAKEASY CIGARS & SPIRITS LLC,SPEAK EASY CIGARS & SPIRITS,"162 MOSLEY ST  ATMORE, AL 36502","501 E Baars St, Pensacola, FL 32503, USA",0.9899185803147464,0.0,0.0,1.0,0.0,4.1374690859826035
15,HANK'S TRADING POST,HANK'S TRADING POST,"NORTH HIGHWAY 89 MP 446  FLAGSTAFF, AZ 86004","31926 North, US-89, Flagstaff, AZ 86004, USA",1.0,,0.0,,1.0,0.008997602008706999
25,OWL EAR SMOKE SHOP,OWL EAR SMOKE SHOP,"9211 E VIA DE VENTURA  SCOTTSDALE, AZ 85258","9211 East Vía de Ventura, Scottsdale, AZ 85258, USA",1.0,1.0,0.6666666666666666,,1.0,3.9471853715974192
26,BEST BUY MARKET,BEST BUY MARKET -NOT AN ELECTRONICS STORE,"8892  HIGHWAY 95  MOHAVE VALLEY, AZ 86440","8828 AZ-95, Mohave Valley, AZ 86440, USA",1.0,0.0,0.0,,1.0,0.5804550914062586
28,YAVAPAI SMOKE SHOP,YAVAPAI SMOKE SHOP,"1501 E GURLEY ST  PRESCOTT, AZ 86305","1841 E State Route 69, Prescott, AZ 86301, USA",1.0,0.0,0.0,,0.0,0.039290216642100105
29,COCOPAH KORNER,COCOPAH KORNER,"15126 S AVE. B  YUMA, AZ 85365","15126 S Avenue B, Somerton, AZ 85350, USA",1.0,1.0,0.0,,0.0,0.002076947228726009
30,APACHE KID SMOKE SHOP,APACHE KID SMOKE SHOP,"4935 N PUSHER DR  RIMROCK, AZ 86335","4935 Pusher St, Rimrock, AZ 86335, USA",0.9999999999999998,1.0,1.0,0.0,1.0,0.29563988312787537
31,FORT MOJAVE SMOKE SHOP,FORT MOJAVE SMOKESHOP,"8501 SOUTH HIGHWAY 95  MOHAVE VALLEY, AZ 86440","8501 AZ-95, Mohave Valley, AZ 86440, USA",0.9743578016716488,1.0,0.0,,1.0,0.0544715690776652
