est_id,DBA Name,bizname,Full Address,formatted_address,name_score,AddressNumber_score,StreetName_score,StreetNamePostType_score,ZipCode_score,dist_miles
12,F & M CIGARS,Foxworth Jr Billy F DDS,"8860 MINNIE BROWN RD  MONTGOMERY, AL 36117","210 Winton M Blount Loop, Montgomery, AL 36117, USA",0.0060576807047182345,0.0,0.3333333333333333,0.0,1.0,41.99509558747603
14,TOBACCO ROAD LIMITED,Havana Dreamin,"2073 COLISEUM BLVD  MONTGOMERY, AL 36110","2061 Carter Hill Rd, Montgomery, AL 36106, USA",0.0,0.0,0.0,0.0,0.0,0.2350132488597567
40,7-ELEVEN,Alon Gas Station,"HWY. 191  MANY FARMS, AZ 86538","US-191, Many Farms, AZ 86538, USA",0.0,,0.0,,1.0,0.16095280502075615
70,CONOCO,Giant,"U.S. 160  KAYENTA, AZ 86033","U.S. 160-163, Kayenta, AZ 86033, USA",0.0,,,,1.0,0.03415287991932728
100,K.C. MINI MART,Keams Canyon Mustang/Auto Parts,"MILE POST 403 HWY. 264  KEAMS CANYON, AZ 86034","403 AZ-264, Keams Canyon, AZ 86034, USA",0.0,1.0,0.0,,1.0,0.00021910373019109284
250,CIGARETTES/TOBACCO DISCOUNT,Postal Palm Springs,"1717 E. VISTA CHINO  STE. A6  PALM SPRINGS, CA 92264","1717 E Vista Chino Ste A7, Palm Springs, CA 92262, USA",0.0,1.0,1.0,,0.0,0.03543533932742116
353,ALTERNATIVE ACCESSORIES,BlazeNJs,"695 ORO DAM BLVD E  OROVILLE, CA 95965","695 Oroville Dam Blvd E, Oroville, CA 95965, USA",0.0,1.0,0.5,1.0,1.0,2.8540931735786628
435,SEMINOLE CIGAR COMPANY,First American Tobacco Shop,"5980 S STATE ROAD 7  DAVIE, FL 33314","6400, 5990 FL-7, Davie, FL 33314, USA",0.0,,,,1.0,1.302003158487443
455,DEANOS,Exxon,"13834 HIGHWAY 12  OROFINO, ID 83544","13834 US-12, Orofino, ID 83544, USA",0.0,1.0,0.0,,1.0,0.009227143483147364
483,EXXON,Gas Station,"1823 HWY. 95  WINCHESTER, ID 83555","1823 US-95 BUS, Winchester, ID 83555, USA",0.0,1.0,0.0,,1.0,0.14362901774995462
