est_id,id,match,found_pic,Manual Result,DBA Name,,
0,,Not Validated,,,DISCOUNT TOBACCO OUTLET #110,,
1,1,Manually Verify Pic,1,Yes,FAST LANE,,
2,2,Active,,,TOBACCO N BEVERAGE OUTLET 3 Package Store,,
3,3,Active,,,DIAMOND FOOD MART / SHELL,,
4,4,Active,,,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,,
5,5,Active,,,THE CIGAR SHOPPE,,
6,6,Manually Verify Pic,1,Yes,WIND CREEK CASINO & HOTEL,,
7,7,Manually Verify Pic,1,yes,CHEVRON/Diamond Food Mart,,
8,8,Active,,,CREEK CASINO MONTGOMERY,,
9,9,Manually Verify Pic,1,yes,CCS Wetumpka/RIVERSIDE SMOKE SHOP,,
10,10,Manually Verify Pic,1,yes,WIND CREEK CASINO AND HOTEL,,
11,11,Active,,,Poarch Creek Indians Convenience/Creek Travel Plaza,,
12,12,Manually Verify Pic,1,yes,F & M CIGARS,,
13,13,Active,,,SPEAKEASY CIGARS & SPIRITS LLC,,
14,14,Manually Verify Pic,1,yes,TOBACCO ROAD LIMITED,,
15,15,Active,,,HANK'S TRADING POST,,
16,16,Manually Verify Pic,1,yes,DESERT VIEW TRADING POST,,
17,17,Active,,,WOODY'S,,
18,18,Active,,,TERRIBLES HERBST,,
19,,Not Validated,,,SMOKERS FRIENDLY #31,,
20,20,Active,,,LITTLE BROWN JUG,,
21,21,Closed,,,LAKE MANOR GROCERY,,
22,22,Active,,,CIRCLE K,,
23,23,Active,,,CIRCLE K,,
24,24,Manually Verify Pic,1,yes,CHEVRON/FOOD MART,,
25,25,Active,,,OWL EAR SMOKE SHOP,,
26,26,Manually Verify Pic,1,yes,BEST BUY MARKET,,
27,27,Active,,,ARCO AM/PM,,
28,28,Active,,,YAVAPAI SMOKE SHOP,,
29,29,Active,,,COCOPAH KORNER,,
30,30,Closed,,,APACHE KID SMOKE SHOP,,
31,31,Manually Verify Pic,1,yes,FORT MOJAVE SMOKE SHOP,,
32,32,Active,,,SHELL,,
33,33,Active,,,YAVAPAI INDIAN SMOKE SHOP,,
