address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"436 W Bakerview Rd Ste 111, Bellingham, WA, 98226",,,7589213,,,FALSE,,,,,,
"31515 Rancho Pueblo Rd Ste 105, Temecula, CA, 92592",,,7407512,,,FALSE,,,,,,
"404 W Country Club Rd, Chickasha, OK, 73018",,,1478285,,,FALSE,,,,,,
"21201 E Ocotillo Rd, Queen Creek, AZ, 85142",3024,13,2236846,33.248646,-111.624825,TRUE,Non_Exact,"21201 E OCOTILLO RD, QUEEN CREEK, AZ, 85142",L,4,642196628,817100
"120 Wilderness Ave, Williams, MN, 56686",,,7590209,,,FALSE,,,,,,
"1384 US Highway 395 S, Gardnerville, NV, 89410",,,1408172,,,FALSE,,,,,,
"2229 Newmark St, North Bend, OR, 97459",6004,11,7070081,43.391563,-124.24307,TRUE,Exact,"2229 NEWMARK ST, NORTH BEND, OR, 97459",R,41,640013552,400
"409 Arizona Ave, Holton, KS, 66436",1094,85,1000304,39.46336,-95.74791,TRUE,Exact,"409 ARIZONA AVE, HOLTON, KS, 66436",L,20,10120984,82700
"58 Main St, Akron, NY, 14001",2007,29,1691956,43.020157,-78.50047,TRUE,Exact,"58 MAIN ST, AKRON, NY, 14001",L,36,48312765,14801
"6780 E State Route 106, Union, WA, 98592",1022,45,1805804,47.349136,-123.073814,TRUE,Exact,"6780 STATE RTE 106, UNION, WA, 98592",L,53,180862683,960500
"528 Chestnut St, Virginia, MN, 55792",2011,137,1407086,47.52313,-92.53905,TRUE,Non_Exact,"528 CHESTNUT ST W, VIRGINIA, MN, 55792",L,27,163194263,13100
"2483 E Florence Blvd, Casa Grande, AZ, 85122",,,2956668,,,FALSE,,,,,,
"2737 E Mckellips Rd, Mesa, AZ, 85213",1000,13,800794,33.451805,-111.77284,TRUE,Non_Exact,"2737 E MCKELLIPS RD, MESA, AZ, 85213",R,4,642857015,420603
"841 Alua St, Wailuku, HI, 96793",1014,9,7338654,20.903435,-156.48917,TRUE,Exact,"841 ALUA ST, WAILUKU, HI, 96793",R,15,85060141,30902
"193 State Highway 11 NW, Williams, MN, 56686",,,1425998,,,FALSE,,,,,,
"76 Jamestown St Ste 1, Gowanda, NY, 14070",2024,9,7415370,42.461132,-78.93663,TRUE,Exact,"76 JAMESTOWN ST, GOWANDA, NY, 14070",R,36,122016784,960400
"1325 W University Dr, Tempe, AZ, 85281",,,7535833,,,FALSE,,,,,,
"1512 N Scottsdale Rd, Tempe, AZ, 85281",,,1770860,,,FALSE,,,,,,
"913 Main St, Lewiston, ID, 83501",2063,69,1401788,46.41955,-117.02142,TRUE,Exact,"913 MAIN ST, LEWISTON, ID, 83501",R,16,173130369,960300
"5050 W Baseline Rd, Laveen, AZ, 85339",1019,13,2015695,33.377563,-112.167145,TRUE,Non_Exact,"5050 W BASELINE RD, LAVEEN, AZ, 85339",R,4,640589708,116605
"201 Central Ave S, Dunn Center, ND, 58626",1704,25,1457586,47.35141,-102.620514,TRUE,Exact,"201 CENTRAL AVE S, DUNN CENTER, ND, 58626",R,38,200432476,962200
"15175 Lakeshore Dr, Clearlake, CA, 95422",1000,33,2126188,38.949883,-122.62955,TRUE,Exact,"15175 LAKESHORE DR, CLEARLAKE, CA, 95422",L,6,67047420,801
"825 Klamath Ave, Klamath Falls, OR, 97601",3010,35,1412207,42.225784,-121.78001,TRUE,Exact,"825 KLAMATH AVE, KLAMATH FALLS, OR, 97601",L,41,156657500,971800
"1532 Hwy 395 Ste 8, Gardnerville, NV, 89410",,,7504081,,,FALSE,,,,,,
"7120 Stirling Rd, Hollywood, FL, 33024",,,7441417,,,FALSE,,,,,,
"987 N Arizona Blvd, Coolidge, AZ, 85128",,,653610,,,FALSE,,,,,,
"5820 Stirling Rd, Hollywood, FL, 33021",1002,11,7001077,26.04677,-80.20534,TRUE,Exact,"5820 STIRLING RD, HOLLYWOOD, FL, 33021",L,12,633423327,90504
"98 N Main St, Beaver, UT, 84713",3049,1,1746743,38.27679,-112.641266,TRUE,Exact,"98 N MAIN ST, BEAVER, UT, 84713",R,49,165957627,100100
"323 W Chocktoot St, Chiloquin, OR, 97624",,,390765,,,FALSE,,,,,,
"4125 Arctic Ave, Bellingham, WA, 98226",,,7499649,,,FALSE,,,,,,
"409 Tallulah Rd, Robbinsville, NC, 28771",,,3991088,,,FALSE,,,,,,
"1335 W University Dr, Tempe, AZ, 85281",,,765691,,,FALSE,,,,,,
"311 State Ave NE, Warroad, MN, 56763",2145,135,1425985,48.90086,-95.32007,TRUE,Non_Exact,"311 STATE AVE, WARROAD, MN, 56763",R,27,176591686,970100
"2801 Rodeo Rd, Santa Fe, NM, 87507",4019,49,801655,35.638275,-105.981476,TRUE,Non_Exact,"2801 W RODEO RD, SANTA FE, NM, 87507",R,35,632574386,1107
"1099 W 8th St, Yuma, AZ, 85364",,,113651,,,FALSE,,,,,,
"235 Main St, Orofino, ID, 83544",,,1401796,,,FALSE,,,,,,
"1225 Oregon Ave SE, Bandon, OR, 97411",,,620921,,,FALSE,,,,,,
"712 W Grand Xing, Mobridge, SD, 57601",,,1640355,,,FALSE,,,,,,
"3302 E Mlk Jr Blvd, Tampa, FL, 33610",3032,57,7466988,27.981483,-82.42388,TRUE,Non_Exact,"3302 E DR MARTIN LUTHER KING JR BLVD, TAMPA, FL, 33610",L,12,104533586,1900
"45820 Oasis St, Indio, CA, 92201",1056,65,700708,33.716103,-116.2208,TRUE,Exact,"45820 OASIS ST, INDIO, CA, 92201",L,6,194775386,49500
"16545 E Palisades Blvd, Fountain Hills, AZ, 85268",4005,13,995344,33.60997,-111.724396,TRUE,Non_Exact,"16545 E PALISADES BLVD, FOUNTAIN HLS, AZ, 85268",R,4,128959853,216818
"4860 S State Road 7, Fort Lauderdale, FL, 33314",,,674300,,,FALSE,,,,,,
"124 E Main St, Mayetta, KS, 66509",1047,85,1403983,39.338127,-95.72411,TRUE,Exact,"124 E MAIN ST, MAYETTA, KS, 66509",L,20,10129325,82600
"2349 S Kihei Rd, Kihei, HI, 96753",3000,9,3837924,20.721153,-156.44716,TRUE,Non_Exact,"2349 S KIHEI RD, KIHEI, HI, 96753",L,15,635607019,30709
"33 Deer Creek Cir, Fallon, NV, 89406",3033,1,1490190,39.490337,-118.77338,TRUE,Non_Exact,"33 DEER TRL, FALLON, NV, 89406",L,32,139979173,950600
"65770 Hammond Rd, Mecca, CA, 92254",,,1926375,,,FALSE,,,,,,
"2229 N School St Ste 101, Honolulu, HI, 96819",,,7455856,,,FALSE,,,,,,
"330 W Railroad Ave, Shelton, WA, 98584",3047,45,1415726,47.21306,-123.10291,TRUE,Non_Exact,"330 W RAILROAD AVE, SHELTON, WA, 98584",R,53,180853447,960800
"918 Michigan Ave, Niagara Falls, NY, 14305",1020,63,660181,43.104656,-79.052505,TRUE,Exact,"918 MICHIGAN AVE, NIAGARA FALLS, NY, 14305",L,36,48685988,20500
"1402 E Satco Rd, Whiteriver, AZ, 85941",,,7612544,,,FALSE,,,,,,
"125 Goddard Ave, Ignacio, CO, 81137",2036,67,1424206,37.119125,-107.63311,TRUE,Exact,"125 GODDARD AVE, IGNACIO, CO, 81137",L,8,91702445,940300
"606 N 1st St, Hiawatha, KS, 66434",,,1403987,,,FALSE,,,,,,
"356 Bay St, Taunton, MA, 27801",,,1405927,,,FALSE,,,,,,
"575 Rivergate Unit 111, Durango, CO, 81301",1098,67,1869255,37.248474,-107.870575,TRUE,Non_Exact,"575 RIVERGATE LN, DURANGO, CO, 81301",R,8,612539612,971100
"2995 E Chandler Heights Rd, Chandler, AZ, 85249",,,1971144,,,FALSE,,,,,,
"820 E Florida St, Deming, NM, 88030",2033,29,1975978,32.254044,-107.74875,TRUE,Non_Exact,"820 E FLORIDA ST, DEMING, NM, 88030",L,35,201331676,100
"360 N Val Vista Dr, Mesa, AZ, 85213",2000,13,1813887,33.42181,-111.753654,TRUE,Non_Exact,"360 N VAL VISTA DR, MESA, AZ, 85213",L,4,243913671,420707
"2087 S 4th Ave, Yuma, AZ, 85364",,,766759,,,FALSE,,,,,,
