IMPAQ_ID,DBA Name_update,Address Line 1_update,City_update,State_update,Zip_update
0,DISCOUNT TOBACCO OUTLET #110,3326 ATLANTA HWY,MONTGOMERY,AL,36109
1,FAST LANE OUTDOORS,3493 JACK SPRINGS RD,ATMORE,AL,36502
2,TOBACCO N BEVERAGE OUTLET 3 Package Store,4220 MOBILE HWY,MONTGOMERY,AL,36108
3,DIAMOND FOOD MART / SHELL,1204 E NASHVILLE AVE,ATMORE,AL,36502
4,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,116 POARCH ROAD,ATMORE,AL,36502
5,THE CIGAR SHOPPE,5349 YOUNG BARN RD,MONTGOMERY,AL,36106
6,WIND CREEK CASINO & HOTEL,303 POARCH ROAD,ATMORE,AL,36502
7,CHEVRON/Diamond Food Mart,303 HOWARD ST.,ATMORE,AL,36502
8,WIND CREEK MONTGOMERY,1801 EDDIE L TULLIS RD,MONTGOMERY,AL,36117
9,CCS Wetumpka/RIVERSIDE SMOKE SHOP,89 RIVER OAKS DR,WETUMPKA,AL,36092
10,WIND CREEK WETUMPKA,100 RIVER OAKS DR.,WETUMPKA,AL,36092
11,Poarch Creek Indians Convenience/Creek Travel Plaza,4740 JACK SPRINGS RD.,ATMORE,AL,36502
12,F & M CIGARS,8860 MINNIE BROWN RD,MONTGOMERY,AL,36117
13,SPEAKEASY CIGARS & SPIRITS LLC,162 MOSLEY ST,ATMORE,AL,36502
14,TOBACCO ROAD LIMITED,2073 COLISEUM BLVD,MONTGOMERY,AL,36110
15,HANK'S TRADING POST,31926 NORTH US-89,FLAGSTAFF,AZ,86004
16,DESERT VIEW TRADING POST AND ICE CREAM,DESERT VIEW,GRAND CANYON,AZ,86023
17,WOODY'S,23505  MOHAVE RD,PARKER,AZ,85344
18,TERRIBLES HERBST,1001 S CALIFORNIA AVE,PARKER,AZ,85344
19,SMOKERS FRIENDLY #31,820 CALIFORNIA ST,PARKER,AZ,85344
20,LITTLE BROWN JUG,900 S CALIFORNIA AVE,PARKER,AZ,85344
21,LAKE MANOR MARKET,10142 RIVERSIDE DR,PARKER,AZ,85344
22,CIRCLE K,1516 S CALIFORNIA AVE,PARKER,AZ,85344
23,CIRCLE K,8861  RIVERSIDE DR,PARKER,AZ,85344
