address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"425 S Sunrise Way, Palm Springs, CA, 92262",,,1785570,33.817565,-116.5286042,Google,ROOFTOP,,,,,
"8116 State Highway 789, Lander, WY, 82520",,,7581260,42.8326083,-108.7219521,Google,ROOFTOP,,,,,
"115 W Highway 18, Gregory, SD, 57533",,,7353384,43.2253192,-99.4316139,Google,ROOFTOP,,,,,
"1047 W Mason St, Green Bay, WI, 54303",,,1415910,44.5152345,-88.0415969,Google,RANGE_INTERPOLATED,,,,,
"11330 Highway 97, McDavid, FL, 32568",,,1606032,30.9973222,-87.4882908,Google,ROOFTOP,,,,,
"1302 2nd Ave N, Billings, MT, 59101",,,1407810,45.7914029,-108.4883227,Google,ROOFTOP,,,,,
"2303 State Highway 113, Waubun, MN, 56589",,,7440237,47.1789156,-95.7828132,Google,ROOFTOP,,,,,
"22 Goding Ave, Lincoln, ME, 44571",,,1455905,45.3608043,-68.5164279,Google,ROOFTOP,,,,,
"21 S Walnut St, La Crescent, MN, 55947",,,1425558,43.8290453,-91.3035891,Google,ROOFTOP,,,,,
"4971 Hwy 61 E, Hovland, MN, 55606",,,7044070,47.8426844,-89.9673561,Google,ROOFTOP,,,,,
"2514 S Isabella Rd, Mount Pleasant, MI, 48858",,,1532334,43.6042704,-84.74713,Google,ROOFTOP,,,,,
"6359 Bemidji Ave N, Bemidji, MN, 56601",,,1425841,47.5308938,-94.875329,Google,ROOFTOP,,,,,
"912 Broadway, Wheaton, MN, 56296",,,7410160,45.8044771,-96.4956776,Google,ROOFTOP,,,,,
"2801 El Indio Hwy, Eagle Pass, TX, 78852",,,1829197,28.6876831,-100.4753553,Google,ROOFTOP,,,,,
"699 S Plano St, Porterville, CA, 93257",,,767549,36.0529525,-119.0086664,Google,ROOFTOP,,,,,
"145 W 200 S, Kamas, UT, 84036",,,7381924,40.6395565,-111.2838065,Google,RANGE_INTERPOLATED,,,,,
"176 S Sunrise Way, Palm Springs, CA, 92262",,,976473,33.8216854,-116.528045,Google,RANGE_INTERPOLATED,,,,,
"5268 Us Highway 231, Wetumpka, AL, 36092",,,558093,32.5172361,-86.2098936,Google,ROOFTOP,,,,,
"2216 Highway 82 E, Greenwood, MS, 38930",,,7441618,33.4760576,-89.7892077,Google,RANGE_INTERPOLATED,,,,,
