address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"2303 State Highway 113, Waubun, MN, 56589",,,47.1789156,-95.7828132,True,ROOFTOP,,,,,,Google,POINT (-95.78281320000001 47.1789156),Yes,White Earth,White Earth Reservation,True,,9.283114586366991e-13,GEOMETRYCOLLECTION EMPTY,7440237,7440237,20181214,O-Open Store,BONES LIQUOR STORE,,2303 STATE HIGHWAY 113,WAUBUN,MN,56589,Waubun,27,87,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,660.0
"406 Main Ave, Callaway, MN, 56521",2175.0,5.0,46.980907,-95.9093,True,Exact,"406 MAIN AVE, CALLAWAY, MN, 56521",R,27.0,167949342.0,940000.0,Census,POINT (-95.9093 46.980907),Yes,White Earth,White Earth Reservation,True,,0.03808391771037131,GEOMETRYCOLLECTION EMPTY,1406797,1406797,20181214,O-Open Store,CALLAWAY LIQUOR STORE,,406 MAIN AVE,CALLAWAY,MN,56521,Callaway,27,5,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,218.0,3753133.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,669.0
"775 Hwy 59 S, Mahnomen, MN, 56557",,,47.3218064,-95.9657009,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-95.9657009 47.3218064),Yes,White Earth,White Earth Reservation,True,,0.014389668184144848,GEOMETRYCOLLECTION EMPTY,1407020,1407020,20181214,O-Open Store,LUCKY 7 LIQUORS,,775 HWY 59 S,MAHNOMEN,MN,56557,Mahnomen,27,87,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,218.0,9359164.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,719.0
"300 1st Ave, Poplar, MT, 59255",4064.0,85.0,48.11023,-105.19549,True,Non_Exact,"300 1ST AVE W, POPLAR, MT, 59255",L,30.0,642071801.0,940002.0,Census,POINT (-105.19549 48.11023),Yes,Fort Peck,Fort Peck Indian Reservation,True,,0.008727311082149641,GEOMETRYCOLLECTION EMPTY,1465936,1465936,20181214,O-Open Store,MONTANA AGENCY OUTLET,100,300 1ST AVE,POPLAR,MT,59255,Poplar,30,85,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,406.0,7683461.0,"01-$1 to $500,000",3,4,0,0,999999,99999,Independent,,,,,176004,Montana Agency Outlet,Y,,754.0
"6326 33rd Ave NE, Marysville, WA, 98271",3060.0,61.0,48.054024,-122.18724,True,Exact,"6326 33RD AVE NE, MARYSVILLE, WA, 98271",L,53.0,617670219.0,940001.0,Census,POINT (-122.18724 48.054024),Yes,Tulalip,Tulalip Reservation,True,,2.7773344684428363,GEOMETRYCOLLECTION EMPTY,7577825,7577825,20181214,O-Open Store,TULALIP LIQUOR & SMOKESHOP,,6326 33RD AVE NE,MARYSVILLE,WA,98271,Marysville,53,61,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,360.0,7163250.0,"05-$2,000,001 to $4,000,000",40,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1800.0
"840 W Main St, Riverton, WY, 82501",,,43.0247724,-108.402685,True,ROOFTOP,,,,,,Google,POINT (-108.402685 43.0247724),Yes,Wind River,Wind River Reservation,True,,0.008847055475476664,GEOMETRYCOLLECTION EMPTY,1416257,1416257,20181214,O-Open Store,HILLTOP LIQUORS,,840 W MAIN ST,RIVERTON,WY,82501,Riverton,56,13,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,307.0,8563423.0,"01-$1 to $500,000",9,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1918.0
"411 Main St, Ogema, MN, 56569",,,47.1029519,-95.9254987,True,ROOFTOP,,,,,,Google,POINT (-95.92549870000001 47.1029519),Yes,White Earth,White Earth Reservation,True,,0.0177570585300341,GEOMETRYCOLLECTION EMPTY,1425854,1425854,20181214,O-Open Store,OGEMA MUNICIPAL LIQUOR STORE,,411 MAIN ST,OGEMA,MN,56569,Ogema,27,5,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,218.0,9833246.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,672.0
"3070 Scenic Hwy NE, Pennington, MN, 56663",1121.0,7.0,47.49308,-94.479675,True,Exact,"3070 SCENIC HWY NE, PENNINGTON, MN, 56663",R,27.0,176407936.0,940002.0,Census,POINT (-94.479675 47.49308),Yes,Leech Lake,Leech Lake Reservation,True,,0.013124489971257376,GEOMETRYCOLLECTION EMPTY,2043953,2043953,20181214,O-Open Store,SCENIC STORE LIQUOR,,3070 SCENIC HWY NE,PENNINGTON,MN,56663,Pennington,27,7,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,218.0,3352721.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,610.0
"4112 State Route 105, Tokeland, WA, 98590",,,46.7250165,-124.0206708,True,ROOFTOP,,,,,,Google,POINT (-124.0206708 46.7250165),Yes,Shoalwater Bay,Shoalwater Bay Indian Reservation,True,,0.0,GEOMETRYCOLLECTION EMPTY,7507165,7507165,20181214,O-Open Store,SMOKE N SPIRITS,,4112 STATE ROUTE 105,TOKELAND,WA,98590,Tokeland,53,49,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"04-$1,500,001 to $2,000,000",30,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1738.0
"1109 S Palm Canyon Dr, Palm Springs, CA, 92264",,,33.807465,-116.5459175,True,ROOFTOP,,,,,,Google,POINT (-116.5459175 33.807465),Yes,Agua Caliente,Agua Caliente Indian Reservation,True,,0.01734465876935997,GEOMETRYCOLLECTION EMPTY,1398124,1398124,20181214,O-Open Store,CLUB LIQUORS,,1109 S PALM CANYON DR,PALM SPRINGS,CA,92264,Palm Springs,6,65,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,760.0,3259218.0,"01-$1 to $500,000",7,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,233.0
"3395 State Highway 200, Mahnomen, MN, 56557",2111.0,87.0,47.325226,-95.55192,True,Exact,"3395 STATE HWY 200, MAHNOMEN, MN, 56557",L,27.0,168230114.0,940300.0,Census,POINT (-95.55192 47.325226),Yes,White Earth,White Earth Reservation,True,,0.008050522940994943,GEOMETRYCOLLECTION EMPTY,3803568,3803568,20181214,O-Open Store,ROY LAKE LIQUOR STORE,,3395 STATE HIGHWAY 200,MAHNOMEN,MN,56557,Mahnomen,27,87,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",15,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,601.0
"708 Lyle Chisholm Dr, Cass Lake, MN, 56633",,,47.3820139,-94.613975,True,ROOFTOP,,,,,,Google,POINT (-94.613975 47.3820139),Yes,Leech Lake,Leech Lake Reservation,True,,0.16122010859825273,GEOMETRYCOLLECTION EMPTY,1407094,1407094,20181214,O-Open Store,SAFARI LIQUORS,,708 LYLE CHISHOLM DR,CASS LAKE,MN,56633,Cass Lake,27,21,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,218.0,3358527.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,707.0
"2509 Highway 395 S, Chewelah, WA, 99109",,,48.2415967,-117.7145811,True,ROOFTOP,,,,,,Google,POINT (-117.7145811 48.2415967),Yes,Spokane,Spokane Off-Reservation Trust Land,True,,0.006386376611864475,GEOMETRYCOLLECTION EMPTY,7293701,7293701,20181214,O-Open Store,MISTEQUA SPOKO,,2509 HIGHWAY 395 S,CHEWELAH,WA,99109,Chewelah,53,65,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"03-$1,000,001 to $1,500,000",20,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1744.0
