address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource
"436 W Bakerview Rd Ste 111, Bellingham, WA, 98226",,,7589213.0,48.791275899999995,-122.4963867,True,ROOFTOP,,,,,,Google
"31515 Rancho Pueblo Rd Ste 105, Temecula, CA, 92592",,,7407512.0,33.4789889,-117.1107242,True,ROOFTOP,,,,,,Google
"404 W Country Club Rd, Chickasha, OK, 73018",,,1478285.0,35.0155152,-97.9358434,True,ROOFTOP,,,,,,Google
"21201 E Ocotillo Rd, Queen Creek, AZ, 85142",3024.0,13.0,2236846.0,33.248646,-111.624825,True,Non_Exact,"21201 E OCOTILLO RD, QUEEN CREEK, AZ, 85142",L,4.0,642196628.0,817100.0,Census
"120 Wilderness Ave, Williams, MN, 56686",,,7590209.0,48.7669097,-94.9576853,True,ROOFTOP,,,,,,Google
"1384 US Highway 395 S, Gardnerville, NV, 89410",,,1408172.0,38.9388476,-119.7457145,True,ROOFTOP,,,,,,Google
"2229 Newmark St, North Bend, OR, 97459",6004.0,11.0,7070081.0,43.391563,-124.24306999999999,True,Exact,"2229 NEWMARK ST, NORTH BEND, OR, 97459",R,41.0,640013552.0,400.0,Census
"409 Arizona Ave, Holton, KS, 66436",1094.0,85.0,1000304.0,39.463359999999994,-95.74791,True,Exact,"409 ARIZONA AVE, HOLTON, KS, 66436",L,20.0,10120984.0,82700.0,Census
"58 Main St, Akron, NY, 14001",2007.0,29.0,1691956.0,43.020157,-78.50046999999999,True,Exact,"58 MAIN ST, AKRON, NY, 14001",L,36.0,48312765.0,14801.0,Census
"6780 E State Route 106, Union, WA, 98592",1022.0,45.0,1805804.0,47.349136,-123.07381399999998,True,Exact,"6780 STATE RTE 106, UNION, WA, 98592",L,53.0,180862683.0,960500.0,Census
"528 Chestnut St, Virginia, MN, 55792",2011.0,137.0,1407086.0,47.52313,-92.53905,True,Non_Exact,"528 CHESTNUT ST W, VIRGINIA, MN, 55792",L,27.0,163194263.0,13100.0,Census
"2483 E Florence Blvd, Casa Grande, AZ, 85122",,,2956668.0,32.8790565,-111.68013940000002,True,ROOFTOP,,,,,,Google
"2737 E Mckellips Rd, Mesa, AZ, 85213",1000.0,13.0,800794.0,33.451805,-111.77283999999999,True,Non_Exact,"2737 E MCKELLIPS RD, MESA, AZ, 85213",R,4.0,642857015.0,420603.0,Census
"841 Alua St, Wailuku, HI, 96793",1014.0,9.0,7338654.0,20.903435,-156.48917,True,Exact,"841 ALUA ST, WAILUKU, HI, 96793",R,15.0,85060141.0,30902.0,Census
"193 State Highway 11 NW, Williams, MN, 56686",,,1425998.0,48.766936,-94.95476070000001,True,RANGE_INTERPOLATED,,,,,,Google
"76 Jamestown St Ste 1, Gowanda, NY, 14070",2024.0,9.0,7415370.0,42.461132,-78.93663000000001,True,Exact,"76 JAMESTOWN ST, GOWANDA, NY, 14070",R,36.0,122016784.0,960400.0,Census
"1325 W University Dr, Tempe, AZ, 85281",,,7535833.0,33.4216683,-111.9598797,True,ROOFTOP,,,,,,Google
"1512 N Scottsdale Rd, Tempe, AZ, 85281",,,1770860.0,33.4461989,-111.92698109999999,True,ROOFTOP,,,,,,Google
