address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"436 W Bakerview Rd Ste 111, Bellingham, WA, 98226",,,7589213,48.7912759,-122.4963867,Google,ROOFTOP,,,,,
"31515 Rancho Pueblo Rd Ste 105, Temecula, CA, 92592",,,7407512,33.4789889,-117.1107242,Google,ROOFTOP,,,,,
"404 W Country Club Rd, Chickasha, OK, 73018",,,1478285,35.0155152,-97.9358434,Google,ROOFTOP,,,,,
"120 Wilderness Ave, Williams, MN, 56686",,,7590209,48.7669097,-94.9576853,Google,ROOFTOP,,,,,
"1384 US Highway 395 S, Gardnerville, NV, 89410",,,1408172,38.9388476,-119.7457145,Google,ROOFTOP,,,,,
"2483 E Florence Blvd, Casa Grande, AZ, 85122",,,2956668,32.8790565,-111.6801394,Google,ROOFTOP,,,,,
"193 State Highway 11 NW, Williams, MN, 56686",,,1425998,48.766936,-94.9547607,Google,RANGE_INTERPOLATED,,,,,
"1325 W University Dr, Tempe, AZ, 85281",,,7535833,33.4216683,-111.9598797,Google,ROOFTOP,,,,,
"1512 N Scottsdale Rd, Tempe, AZ, 85281",,,1770860,33.4461989,-111.9269811,Google,ROOFTOP,,,,,
"1532 Hwy 395 Ste 8, Gardnerville, NV, 89410",,,7504081,38.9468366,-119.7570356,Google,ROOFTOP,,,,,
"7120 Stirling Rd, Hollywood, FL, 33024",,,7441417,26.0455739,-80.2319408,Google,RANGE_INTERPOLATED,,,,,
"987 N Arizona Blvd, Coolidge, AZ, 85128",,,653610,32.9868012,-111.5236804,Google,ROOFTOP,,,,,
"323 W Chocktoot St, Chiloquin, OR, 97624",,,390765,42.5783788,-121.8667972,Google,ROOFTOP,,,,,
"4125 Arctic Ave, Bellingham, WA, 98226",,,7499649,48.7912502,-122.5145924,Google,ROOFTOP,,,,,
"409 Tallulah Rd, Robbinsville, NC, 28771",,,3991088,35.3157564,-83.7996861,Google,ROOFTOP,,,,,
"1335 W University Dr, Tempe, AZ, 85281",,,765691,33.4212545,-111.9603069,Google,ROOFTOP,,,,,
"1099 W 8th St, Yuma, AZ, 85364",,,113651,32.7126175,-114.6329062,Google,ROOFTOP,,,,,
"235 Main St, Orofino, ID, 83544",,,1401796,46.4780304,-116.2544111,Google,ROOFTOP,,,,,
"1225 Oregon Ave SE, Bandon, OR, 97411",,,620921,43.1123134,-124.4147349,Google,ROOFTOP,,,,,
"712 W Grand Xing, Mobridge, SD, 57601",,,1640355,45.5376775,-100.4434162,Google,ROOFTOP,,,,,
"4860 S State Road 7, Fort Lauderdale, FL, 33314",,,674300,26.0613743,-80.2069254,Google,ROOFTOP,,,,,
"65770 Hammond Rd, Mecca, CA, 92254",,,1926375,33.5708474,-116.0767123,Google,ROOFTOP,,,,,
"2229 N School St Ste 101, Honolulu, HI, 96819",,,7455856,21.3404848,-157.8743114,Google,ROOFTOP,,,,,
"1402 E Satco Rd, Whiteriver, AZ, 85941",,,7612544,33.8195087,-109.9778509,Google,GEOMETRIC_CENTER,,,,,
"606 N 1st St, Hiawatha, KS, 66434",,,1403987,39.8583909,-95.5274851,Google,ROOFTOP,,,,,
"356 Bay St, Taunton, MA, 27801",,,1405927,41.9209566,-71.0970849,Google,ROOFTOP,,,,,
"2995 E Chandler Heights Rd, Chandler, AZ, 85249",,,1971144,33.2330504,-111.7902051,Google,ROOFTOP,,,,,
"2087 S 4th Ave, Yuma, AZ, 85364",,,766759,32.6900767,-114.6241978,Google,ROOFTOP,,,,,
"247 Clark Ave, Kelliher, MN, 56650",,,1425760,47.940393,-94.4492074,Google,ROOFTOP,,,,,
"1580 S Providence Center Dr, Cedar City, UT, 84720",,,3743799,37.6504296,-113.0865193,Google,RANGE_INTERPOLATED,,,,,
"117 Bennett Dr, Caribou, ME, 47362",,,7453212,46.8685374,-68.0037246,Google,ROOFTOP,,,,,
"1051 S Main Ave, Fallbrook, CA, 92028",,,1398080,33.3729906,-117.2514974,Google,RANGE_INTERPOLATED,,,,,
"74 5455 Makala Blvd, Kailua Kona, HI, 96740",,,7464114,19.6479382,-156.0030595,Google,ROOFTOP,,,,,
"4461 S White Mountain Rd Ste D2, Show Low, AZ, 85901",,,7555883,34.2102057,-110.022512,Google,GEOMETRIC_CENTER,,,,,
"15 S Mcclintock Dr, Tempe, AZ, 85281",,,2250720,33.4323968,-111.9080009,Google,ROOFTOP,,,,,
"3875 Cerrillos Rd, Santa Fe, NM, 87507",,,801695,35.6430249,-106.0124282,Google,ROOFTOP,,,,,
"6783 Stirling Rd, Fort Lauderdale, FL, 33314",,,3952505,26.045959,-80.2359124,Google,ROOFTOP,,,,,
"4450 Kapolei Pkwy Ste 100, Kapolei, HI, 96707",,,7462189,21.3303488,-158.0900895,Google,ROOFTOP,,,,,
"1040 E Bridge St, Redwood Falls, MN, 56283",,,1765200,44.5408709,-95.1031824,Google,ROOFTOP,,,,,
"505 Ellis Ave, Ashland, WI, 54806",,,2485657,46.5886377,-90.8811013,Google,ROOFTOP,,,,,
"890 N State Road 7, Hollywood, FL, 33021",,,1454490,26.0172279,-80.2086888,Google,ROOFTOP,,,,,
"18071 County Road 501, Bayfield, CO, 81122",,,7539130,37.4366775,-107.5581431,Google,ROOFTOP,,,,,
"11973 Highway 84 W, Jena, LA, 71342",,,7563477,31.692265,-92.157891,Google,ROOFTOP,,,,,
"202 W Lacey Blvd, Hanford, CA, 93230",,,2216822,36.3281414,-119.6480041,Google,ROOFTOP,,,,,
"1201 E Sherman Ave, Coeur D Alene, ID, 83814",,,1401772,47.6736957,-116.7689254,Google,RANGE_INTERPOLATED,,,,,
"208 S Berner Rd, Clewiston, FL, 33440",,,7192986,26.7530378,-80.9467278,Google,ROOFTOP,,,,,
"1881 S Kihei Rd, Kihei, HI, 96753",,,3849702,20.7331545,-156.4517956,Google,ROOFTOP,,,,,
"403 W University Dr, Tempe, AZ, 85281",,,767802,33.4214529,-111.9448434,Google,ROOFTOP,,,,,
"1100 Columbine Dr, Holton, KS, 66436",,,982017,39.479002,-95.7524463,Google,ROOFTOP,,,,,
"1250 Nevada St, Nixon, NV, 89424",,,7445847,39.8242942,-119.3695857,Google,ROOFTOP,,,,,
"404 King St, Cottonwood, ID, 83522",,,1401775,46.0483613,-116.3494848,Google,ROOFTOP,,,,,
"201 W Main St, Beulah, ND, 58523",,,7466768,47.2630429,-101.7805126,Google,ROOFTOP,,,,,
"425 W 3rd St, Chadron, NE, 69337",,,7530574,42.8295535,-103.0055068,Google,ROOFTOP,,,,,
