address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"1501 E Martin Luther King Jr, Tampa, FL, 33610",,,3941918,27.9812149,-82.4426482,Google,RANGE_INTERPOLATED,,,,,
"1401 S Main St, Beaver, UT, 84713",,,699254,38.251618,-112.6458908,Google,ROOFTOP,,,,,
"3857 W Broward Blvd, Fort Lauderdale, FL, 33312",,,1693982,26.1223387,-80.200016,Google,ROOFTOP,,,,,
"611 Us Highway 281, Lake Andes, SD, 57356",,,1876486,43.15358,-98.54132659999999,Google,ROOFTOP,,,,,
"340767 HWY 407, Pine Ridge, SD, 57770",,,634779,43.0252303,-102.5568296,Google,ROOFTOP,,,,,
"355 E 300 S, Kanab, UT, 84741",,,635630,37.0432865,-112.5207378,Google,ROOFTOP,,,,,
"4417 Highway 20 Bldg 2410, Devils Lake, ND, 58301",,,1898263,48.0525326,-98.8978207,Google,ROOFTOP,,,,,
"905 W Sd Highway 46, Wagner, SD, 57380",,,1980039,43.081352,-98.27745949999999,Google,ROOFTOP,,,,,
"Bldg 854 & Acacia Rd, Pearl City, HI, 96782",,,7014473,21.3993312,-157.9784464,Google,RANGE_INTERPOLATED,,,,,
"8305 2nd St NW, Albuquerque, NM, 87114",,,7521423,35.1752115,-106.6253067,Google,ROOFTOP,,,,,
"111 Veterans Memorial Pkwy, Detroit Lakes, MN, 56501",,,7031720,46.8181906,-95.8438609,Google,ROOFTOP,,,,,
"403 W University Dr Ste 103, Tempe, AZ, 85281",,,7167508,33.4214529,-111.9448434,Google,ROOFTOP,,,,,
"226 N Main St, Lone Pine, CA, 93545",,,5236790,36.6067944,-118.0637337,Google,ROOFTOP,,,,,
"218 W Gurley St, Prescott, AZ, 86301",,,1700508,34.5421489,-112.4709384,Google,ROOFTOP,,,,,
"1 Main St, Needles, CA, 92363",,,7340956,34.4832501,-114.40355,Google,ROOFTOP,,,,,
"210 N Main St, Lakeport, CA, 95453",,,5258365,39.0433329,-122.914848,Google,ROOFTOP,,,,,
"Hwy 281, Apache, OK, 73006",,,7486573,34.8937875,-98.36556069999999,Google,ROOFTOP,,,,,
"1866 Highway 141, Sloan, IA, 51055",,,7431402,42.2283249,-96.2364035,Google,ROOFTOP,,,,,
"208 E Railroad Ave, Plains, MT, 59859",,,5594964,47.4578236,-114.8804169,Google,ROOFTOP,,,,,
"725 N Central, Quartzsite, AZ, 85346",,,1603154,33.677423,-114.216716,Google,RANGE_INTERPOLATED,,,,,
"6000 Frontage Rd, Dayton, NV, 89403",,,7519358,39.3063181,-119.5105553,Google,RANGE_INTERPOLATED,,,,,
"203 Hwy 20 E, Merriman, NE, 69218",,,1711413,42.9192343,-101.6972932,Google,RANGE_INTERPOLATED,,,,,
"680 S Mill Ave, Tempe, AZ, 85281",,,7090716,33.4238818,-111.9402789,Google,ROOFTOP,,,,,
