address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"125 Goddard Ave, Ignacio, CO, 81137",2036.0,67.0,37.119125,-107.63311000000002,True,Exact,"125 GODDARD AVE, IGNACIO, CO, 81137",L,8.0,91702445.0,940300.0,Census,POINT (-107.63311 37.119125),True,Southern Ute,Southern Ute Reservation,True,,0.0028927593672792634,GEOMETRYCOLLECTION EMPTY,1424206.0,1424206,20181116,O-Open Store,PINON LIQUORS,,125 GODDARD AVE,IGNACIO,CO,81137,Ignacio,8,67,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,970.0,5634083.0,"05-$2,000,001 to $4,000,000",40,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,386.0
"900 S California Ave, Parker, AZ, 85344",2145.0,12.0,34.151245,-114.2897,True,Non_Exact,"900 S CALIFORNIA AVE, PARKER, AZ, 85344",L,4.0,129736081.0,940200.0,Census,POINT (-114.2897 34.151245),True,Colorado River,Colorado River Indian Reservation,True,,0.00860651654922284,GEOMETRYCOLLECTION EMPTY,769408.0,769408,20181116,O-Open Store,LITTLE BROWN JUG,,900 S CALIFORNIA AVE,PARKER,AZ,85344,Parker,4,12,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,928.0,6698284.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,21.0
"113 Main St, McLaughlin, SD, 57642",,,45.8152915,-100.8110564,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-100.8110564 45.8152915),True,Standing Rock,Standing Rock Reservation,True,,0.029709331962302868,GEOMETRYCOLLECTION EMPTY,1413901.0,1413901,20181116,O-Open Store,MCLAUGHLIN LIQUOR STORE,,113 MAIN ST,MCLAUGHLIN,SD,57642,McLaughlin,46,31,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,605.0,8234425.0,"03-$1,000,001 to $1,500,000",25,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1599.0
"555 Goddard Ave, Ignacio, CO, 81137",,,37.1155279,-107.63345100000001,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-107.633451 37.1155279),True,Southern Ute,Southern Ute Reservation,True,,0.008926725679116723,GEOMETRYCOLLECTION EMPTY,3869665.0,3869665,20181116,O-Open Store,WELLS LIQUOR,,555 GODDARD AVE,IGNACIO,CO,81137,Ignacio,8,67,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,970.0,5633633.0,"05-$2,000,001 to $4,000,000",40,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,378.0
"347 Main St, New Town, ND, 58763",,,47.9795206,-102.4860018,True,ROOFTOP,,,,,,Google,POINT (-102.4860018 47.9795206),True,Fort Berthold,Fort Berthold Reservation,True,,0.03793107411108054,GEOMETRYCOLLECTION EMPTY,1411154.0,1411154,20181116,O-Open Store,CORNER LIQUOR,,347 MAIN ST,NEW TOWN,ND,58763,New Town,38,61,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,701.0,6274448.0,"02-$500,001 to $1,000,000",10,4,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,842.0
"601 W Bridge St, Yerington, NV, 89447",1036.0,19.0,38.982964,-119.17022,True,Exact,"601 W BRIDGE ST, YERINGTON, NV, 89447",L,32.0,140352175.0,960900.0,Census,POINT (-119.17022 38.982964),True,Yerington,Yerington Colony,True,,0.12307751700943093,GEOMETRYCOLLECTION EMPTY,1535142.0,1535142,20181116,O-Open Store,PAIUTE TRIBE SMOKE SHOP,,601 W BRIDGE ST,YERINGTON,NV,89447,Yerington,32,19,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,775.0,4633670.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1016.0
"852 Bloomingdale Rd, Basom, NY, 14013",1015.0,37.0,43.0628,-78.41897,True,Exact,"852 BLOOMINGDALE RD, BASOM, NY, 14013",R,36.0,48146031.0,940100.0,Census,POINT (-78.41897 43.0628),True,Tonawanda,Tonawanda Reservation,True,,0.14922202006507032,GEOMETRYCOLLECTION EMPTY,1522063.0,1522063,20181116,O-Open Store,ARROWHAWK SMOKE SHOP,,852 BLOOMINGDALE RD,BASOM,NY,14013,Basom,36,37,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,716.0,5426212.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1170.0
"76 Beaver Meadow Rd, Hogansburg, NY, 13655",2012.0,33.0,44.955635,-74.57517,True,Exact,"76 BEAVER MEADOW RD, HOGANSBURG, NY, 13655",R,36.0,173850156.0,940000.0,Census,POINT (-74.57517 44.955635),True,St. Regis Mohawk,St. Regis Mohawk Reservation,True,,0.05047892982017183,GEOMETRYCOLLECTION EMPTY,2246693.0,2246693,20181116,O-Open Store,ANOTHER DAMN CIGARETTE STORE,,76 BEAVER MEADOW RD,HOGANSBURG,NY,13655,Hogansburg,36,33,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,518.0,3582800.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1064.0
"4900 Indian Hill Rd, Lewiston, NY, 14092",1001.0,63.0,43.176876,-78.983986,True,Exact,"4900 INDIAN HILL RD, LEWISTON, NY, 14092",L,36.0,605139021.0,940001.0,Census,POINT (-78.983986 43.176876),True,Tuscarora Nation,Tuscarora Nation Reservation,True,,0.046643428391126,GEOMETRYCOLLECTION EMPTY,7587072.0,7587072,20181116,O-Open Store,SMOKIN JOES,3,4900 INDIAN HILL RD,LEWISTON,NY,14092,Lewiston,36,63,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,D-6-10 Stores,C-Chain Store,716.0,2619348.0,,0,0,0,0,115467,323,Smokin Joes HQ,Sanborn,NY,36.0,63.0,555555,No Group Assignment,N,,1107.0
"5446 Walmore Rd, Lewiston, NY, 14092",2005.0,63.0,43.155429999999996,-78.93542,True,Exact,"5446 WALMORE RD, LEWISTON, NY, 14092",R,36.0,634252567.0,940001.0,Census,POINT (-78.93541999999999 43.15543),True,Tuscarora Nation,Tuscarora Nation Reservation,True,,0.10723127511681152,GEOMETRYCOLLECTION EMPTY,1529990.0,1529990,20181116,O-Open Store,JAYS PLACE,,5446 WALMORE RD,LEWISTON,NY,14092,Lewiston,36,63,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,716.0,2985324.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1177.0
