address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"235 Main St, Orofino, ID, 83544",,,46.4780304,-116.2544111,TRUE,ROOFTOP,,,,,,Google,POINT (-116.2544111 46.4780304),TRUE,Nez Perce,Nez Perce Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,1401796,1401796,20181116,O-Open Store,IDAHO STATE LIQUOR STORE,325,235 MAIN ST,OROFINO,ID,83544,Orofino,16,35,USA,02-Liquor,2-Conventional Liquor,G-51-100 Stores,C-Chain Store,208,4763128,"03-$1,000,001 to $1,500,000",20,2,0,0,90133,70774,Idaho State Liquor Dispensary,Boise,ID,16,1,175991,Idaho State Liquor Store,N,,
"1402 E Satco Rd, Whiteriver, AZ, 85941",,,33.8195087,-109.9778509,TRUE,GEOMETRIC_CENTER,,,,,,Google,POINT (-109.9778509 33.81950870000001),TRUE,Fort Apache,Fort Apache Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7612544,7612544,20181116,O-Open Store,SUNDOWN LIQUORS,,1402 E SATCO RD,WHITERIVER,AZ,85941,Whiteriver,4,17,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,928,3384982,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"734 N Riverside Dr, Espanola, NM, 87532",2002,49,36.001553,-106.062965,TRUE,Exact,"734 RIVERSIDE DR, ESPANOLA, NM, 87532",R,35,614070362,940900,Census,POINT (-106.062965 36.001553),TRUE,Santa Clara,Santa Clara Pueblo,FALSE,,,GEOMETRYCOLLECTION EMPTY,1620542,1620542,20181116,O-Open Store,FAIRVIEW PHARMACY,,734 N RIVERSIDE DR,ESPANOLA,NM,87532,Espanola,35,49,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,505,7532209,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"210 Main St, Hot Springs, MT, 59845",2289,89,47.608475,-114.67007,TRUE,Exact,"210 MAIN ST, HOT SPRINGS, MT, 59845",R,30,204459506,940300,Census,POINT (-114.67007 47.608475),TRUE,Flathead,Flathead Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7570879,7570879,20181116,O-Open Store,MAIN STREET LIQUOR,,210 MAIN ST,HOT SPRINGS,MT,59845,Hot Springs,30,89,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,406,2406998,"01-$1 to $500,000",8,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"322 Main St, Dante, SD, 57329",2188,23,43.038338,-98.18465,TRUE,Exact,"322 MAIN ST, DANTE, SD, 57329",L,46,174517437,940300,Census,POINT (-98.18465 43.038338),TRUE,Yankton,Yankton Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,1000522,1000522,20181116,O-Open Store,GORDOS,,322 MAIN ST,DANTE,SD,57329,Dante,46,23,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,605,3849978,"01-$1 to $500,000",9,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"698 Broad St, Salamanca, NY, 14779",6007,9,42.159176,-78.74141,TRUE,Exact,"698 BROAD ST, SALAMANCA, NY, 14779",R,36,122025276,940300,Census,POINT (-78.74141 42.159176),TRUE,Allegany,Allegany Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,1409258,1409258,20181116,O-Open Store,WEST END WINE & LIQUOR,,698 BROAD ST,SALAMANCA,NY,14779,Salamanca,36,9,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,716,9457480,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1250 Nevada St, Nixon, NV, 89424",,,39.8242942,-119.3695857,TRUE,ROOFTOP,,,,,,Google,POINT (-119.3695857 39.8242942),TRUE,Pyramid Lake Paiute,Pyramid Lake Paiute Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7445847,7445847,20181116,O-Open Store,SILVER STAGE PHARMACY,,1250 NEVADA ST,NIXON,NV,89424,Nixon,32,31,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,775,4269385,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"3011 Hina Chata St, Jena, LA, 71342",,,31.6917235,-92.1555891,TRUE,GEOMETRIC_CENTER,,,,,,Google,POINT (-92.1555891 31.6917235),TRUE,Jena Band of Choctaw,Jena Band of Choctaw Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,4037953,4037953,20181116,O-Open Store,TWISTED FEATHER,,3011 HINA CHATA ST,JENA,LA,71342,Jena,22,59,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"307 3rd St NE, Parshall, ND, 58770",1112,61,47.957787,-102.13807,TRUE,Non_Exact,"307 3RD ST NW, PARSHALL, ND, 58770",L,38,200599070,940300,Census,POINT (-102.13807 47.957787),TRUE,Fort Berthold,Fort Berthold Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7360751,7360751,20181116,O-Open Store,ROCKVIEW PHARMACY,,307 3RD ST NE,PARSHALL,ND,58770,Parshall,38,61,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,701,8623242,"02-$500,001 to $1,000,000",15,4,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"9924 W F St, Worley, ID, 83876",,,47.4003071,-116.9214601,TRUE,ROOFTOP,,,,,,Google,POINT (-116.9214601 47.4003071),TRUE,Coeur d'Alene,Coeur d'Alene Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7591713,7591713,20181116,O-Open Store,WORLEY LIQUOR STORE,,9924 W F ST,WORLEY,ID,83876,Worley,16,55,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,208,6861419,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
