address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"235 Main St, Orofino, ID, 83544",,,46.4780304,-116.2544111,True,ROOFTOP,,,,,,Google,POINT (-116.2544111 46.4780304),True,Nez Perce,Nez Perce Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1401796.0,1401796,20181116,O-Open Store,IDAHO STATE LIQUOR STORE,325,235 MAIN ST,OROFINO,ID,83544,Orofino,16,35,USA,02-Liquor,2-Conventional Liquor,G-51-100 Stores,C-Chain Store,208.0,4763128.0,"03-$1,000,001 to $1,500,000",20,2,0,0,90133,70774,Idaho State Liquor Dispensary,Boise,ID,16.0,1.0,175991,Idaho State Liquor Store,N,,
"1402 E Satco Rd, Whiteriver, AZ, 85941",,,33.81950870000001,-109.9778509,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-109.9778509 33.81950870000001),True,Fort Apache,Fort Apache Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7612544.0,7612544,20181116,O-Open Store,SUNDOWN LIQUORS,,1402 E SATCO RD,WHITERIVER,AZ,85941,Whiteriver,4,17,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,928.0,3384982.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"413 W Sd Highway 46, Wagner, SD, 57380",1006.0,23.0,43.081646,-98.29824,True,Exact,"413 STATE HWY 46, WAGNER, SD, 57380",L,46.0,174525759.0,940300.0,Census,POINT (-98.29824000000001 43.081646),True,Yankton,Yankton Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7404695.0,7404695,20181116,O-Open Store,BOBS LIQUOR,,413 W SD HIGHWAY 46,WAGNER,SD,57380,Wagner,46,23,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"734 N Riverside Dr, Espanola, NM, 87532",2002.0,49.0,36.001553,-106.06296499999999,True,Exact,"734 RIVERSIDE DR, ESPANOLA, NM, 87532",R,35.0,614070362.0,940900.0,Census,POINT (-106.062965 36.001553),True,Santa Clara,Santa Clara Pueblo,False,,,GEOMETRYCOLLECTION EMPTY,1620542.0,1620542,20181116,O-Open Store,FAIRVIEW PHARMACY,,734 N RIVERSIDE DR,ESPANOLA,NM,87532,Espanola,35,49,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,505.0,7532209.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"210 Main St, Hot Springs, MT, 59845",2289.0,89.0,47.608475,-114.67007,True,Exact,"210 MAIN ST, HOT SPRINGS, MT, 59845",R,30.0,204459506.0,940300.0,Census,POINT (-114.67007 47.608475),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7570879.0,7570879,20181116,O-Open Store,MAIN STREET LIQUOR,,210 MAIN ST,HOT SPRINGS,MT,59845,Hot Springs,30,89,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,406.0,2406998.0,"01-$1 to $500,000",8,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"322 Main St, Dante, SD, 57329",2188.0,23.0,43.038338,-98.18465,True,Exact,"322 MAIN ST, DANTE, SD, 57329",L,46.0,174517437.0,940300.0,Census,POINT (-98.18465 43.038338),True,Yankton,Yankton Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1000522.0,1000522,20181116,O-Open Store,GORDOS,,322 MAIN ST,DANTE,SD,57329,Dante,46,23,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,605.0,3849978.0,"01-$1 to $500,000",9,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"698 Broad St, Salamanca, NY, 14779",6007.0,9.0,42.159176,-78.74141,True,Exact,"698 BROAD ST, SALAMANCA, NY, 14779",R,36.0,122025276.0,940300.0,Census,POINT (-78.74141 42.159176),True,Allegany,Allegany Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1409258.0,1409258,20181116,O-Open Store,WEST END WINE & LIQUOR,,698 BROAD ST,SALAMANCA,NY,14779,Salamanca,36,9,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,716.0,9457480.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1250 Nevada St, Nixon, NV, 89424",,,39.824294200000004,-119.3695857,True,ROOFTOP,,,,,,Google,POINT (-119.3695857 39.8242942),True,Pyramid Lake Paiute,Pyramid Lake Paiute Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7445847.0,7445847,20181116,O-Open Store,SILVER STAGE PHARMACY,,1250 NEVADA ST,NIXON,NV,89424,Nixon,32,31,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,775.0,4269385.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"3011 Hina Chata St, Jena, LA, 71342",,,31.6917235,-92.1555891,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-92.1555891 31.6917235),True,Jena Band of Choctaw,Jena Band of Choctaw Reservation,False,,,GEOMETRYCOLLECTION EMPTY,4037953.0,4037953,20181116,O-Open Store,TWISTED FEATHER,,3011 HINA CHATA ST,JENA,LA,71342,Jena,22,59,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"307 3rd St NE, Parshall, ND, 58770",1112.0,61.0,47.957786999999996,-102.13807,True,Non_Exact,"307 3RD ST NW, PARSHALL, ND, 58770",L,38.0,200599070.0,940300.0,Census,POINT (-102.13807 47.957787),True,Fort Berthold,Fort Berthold Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7360751.0,7360751,20181116,O-Open Store,ROCKVIEW PHARMACY,,307 3RD ST NE,PARSHALL,ND,58770,Parshall,38,61,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,701.0,8623242.0,"02-$500,001 to $1,000,000",15,4,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"9924 W F St, Worley, ID, 83876",,,47.4003071,-116.9214601,True,ROOFTOP,,,,,,Google,POINT (-116.9214601 47.4003071),True,Coeur d'Alene,Coeur d'Alene Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7591713.0,7591713,20181116,O-Open Store,WORLEY LIQUOR STORE,,9924 W F ST,WORLEY,ID,83876,Worley,16,55,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,208.0,6861419.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"16281 State Highway 305 NE, Poulsbo, WA, 98370",,,47.7080256,-122.58308999999998,True,ROOFTOP,,,,,,Google,POINT (-122.58309 47.7080256),True,Port Madison,Port Madison Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1616206.0,1616206,20181116,O-Open Store,SUQUAMISH LIQUOR STORE,,16281 STATE HIGHWAY 305 NE,POULSBO,WA,98370,Poulsbo,53,35,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,360.0,5984066.0,"05-$2,000,001 to $4,000,000",50,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
