id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lat,lon
1785570.0,"425 S Sunrise Way, Palm Springs, CA, 92262",False,,,,,,,,,,
2557591.0,"5909 Airport Way S, Seattle, WA, 98108",True,Exact,"5909 AIRPORT WAY S, SEATTLE, WA, 98108",186595219,R,53,033,010900,2075,47.549976,-122.31764
3612032.0,"408 Minnesota Ave NW, Bemidji, MN, 56601",True,Exact,"408 MINNESOTA AVE NW, BEMIDJI, MN, 56601",176405509,R,27,007,450600,5027,47.471745,-94.88272
2643655.0,"548 Tyhee Ave, American Falls, ID, 83211",True,Exact,"548 TYHEE AVE, AMERICAN FLS, ID, 83211",168859396,L,16,077,960200,3031,42.78342,-112.852425
7581260.0,"8116 State Highway 789, Lander, WY, 82520",False,,,,,,,,,,
3087726.0,"820 Memorial St, Prosser, WA, 99350",True,Exact,"820 MEMORIAL ST, PROSSER, WA, 99350",637861080,R,53,005,011700,4002,46.2083,-119.76355
1425852.0,"12060 Main St, Northome, MN, 56661",True,Exact,"12060 MAIN ST, NORTHOME, MN, 56661",611835793,L,27,071,790500,3487,47.87263,-94.28226
7353384.0,"115 W Highway 18, Gregory, SD, 57533",False,,,,,,,,,,
1797484.0,"7740 N Cortaro Rd, Tucson, AZ, 85743",True,Non_Exact,"7740 N CORTARO RD, TUCSON, AZ, 85743",628034926,R,04,019,004429,1072,32.347404,-111.099884
1415910.0,"1047 W Mason St, Green Bay, WI, 54303",False,,,,,,,,,,
1606032.0,"11330 Highway 97, McDavid, FL, 32568",False,,,,,,,,,,
1990479.0,"2781 N Palm Canyon Dr, Palm Springs, CA, 92262",True,Non_Exact,"2781 N PALM CANYON DR, PALM SPRINGS, CA, 92262",194760806,R,06,065,044606,2065,33.855667,-116.55483
1407810.0,"1302 2nd Ave N, Billings, MT, 59101",False,,,,,,,,,,
1421250.0,"1370 Broadway, Placerville, CA, 95667",True,Exact,"1370 BROADWAY, PLACERVILLE, CA, 95667",133027607,R,06,017,031200,2027,38.73208,-120.78097
7440237.0,"2303 State Highway 113, Waubun, MN, 56589",False,,,,,,,,,,
7273371.0,"1112 E Main St, Philadelphia, MS, 39350",True,Non_Exact,"1112 E MAIN ST, PHILADELPHIA, MS, 39350",610545477,R,28,099,010500,3000,32.77081,-89.086975
803194.0,"2238 E Highland Ave, San Bernardino, CA, 92404",True,Non_Exact,"2238 E HIGHLAND AVE, SAN BERNARDINO, CA, 92404",636723745,L,06,071,007403,3014,34.135864,-117.23886
621985.0,"2820 E Andy Devine Ave, Kingman, AZ, 86401",True,Non_Exact,"2820 E ANDY DEVINE AVE, KINGMAN, AZ, 86401",618626088,R,04,015,953601,1075,35.211365,-114.01617
803239.0,"1411 E Highland Ave, San Bernardino, CA, 92404",True,Non_Exact,"1411 E HIGHLAND AVE, SAN BERNARDINO, CA, 92404",144656150,R,06,071,006301,4000,34.13586,-117.25632
4036629.0,"70 Yellow Creek Rd, Evanston, WY, 82930",True,Exact,"70 YELLOW CREEK RD, EVANSTON, WY, 82930",160273056,R,56,041,975400,5092,41.2591,-110.967285
1401798.0,"726 E Sherman St, Pocatello, ID, 83201",True,Non_Exact,"726 E SHERMAN ST, POCATELLO, ID, 83201",204361745,L,16,005,000900,2001,42.87346,-112.44912
1425789.0,"208 Main St, Littlefork, MN, 56653",True,Exact,"208 MAIN ST, LITTLEFORK, MN, 56653",176478582,R,27,071,790300,2164,48.395416,-93.55893
1455905.0,"22 Goding Ave, Lincoln, ME, 44571",False,,,,,,,,,,
1425558.0,"21 S Walnut St, La Crescent, MN, 55947",False,,,,,,,,,,
7044070.0,"4971 Hwy 61 E, Hovland, MN, 55606",False,,,,,,,,,,
768193.0,"1001 N 3rd St, Marquette, MI, 49855",True,Non_Exact,"1001 N 3RD ST, MARQUETTE, MI, 49855",182034623,L,26,103,000200,3009,46.55232,-87.394745
1412287.0,"780 NW Garden Valley Blvd, Roseburg, OR, 97470",True,Non_Exact,"780 NE GARDEN VALLEY BLVD, ROSEBURG, OR, 97470",137247780,L,41,019,120000,1107,43.226738,-123.3456
1485739.0,"700 Chippewa Sq, Marquette, MI, 49855",True,Exact,"700 CHIPPEWA SQ, MARQUETTE, MI, 49855",182064441,R,26,103,002800,1001,46.539375,-87.40693
1532334.0,"2514 S Isabella Rd, Mount Pleasant, MI, 48858",False,,,,,,,,,,
1425841.0,"6359 Bemidji Ave N, Bemidji, MN, 56601",False,,,,,,,,,,
1415497.0,"3930 A St SE Ste 301, Auburn, WA, 98002",True,Exact,"3930 A ST SE, AUBURN, WA, 98002",239768524,L,53,033,030801,1028,47.273617,-122.22888
7410160.0,"912 Broadway, Wheaton, MN, 56296",False,,,,,,,,,,
1407821.0,"232 Indiana St, Chinook, MT, 59523",True,Exact,"232 INDIANA ST, CHINOOK, MT, 59523",162402005,R,30,005,000200,2034,48.59351,-109.230576
