IMPAQ_ID,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,store_address,agent_address,agent_city,agent_state,agent_zip
15,HANK'S TRADING POST,NORTH HIGHWAY 89 MP 446,,FLAGSTAFF,AZ,86004,35.35924931,-111.57035069999999,"NORTH HIGHWAY 89 MP 446  FLAGSTAFF, AZ 86004",Original,15.0,,,Correct,"31926 North, US-89, Flagstaff, AZ 86004, USA",35.5934922,-111.5274097,Active,HANK'S TRADING POST,"31926 North, US-89, Flagstaff, AZ 86004, USA",35.5934922,-111.5274097,POINT (-111.5274097 35.59349220000001),No,3.572698767,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,31926 NORTH US-89,FLAGSTAFF,AZ,86004,COCONINO,COCONINO,L21920437,HANK'S TRADING POST LLC,MORGAN FATALI,"Address: 31926 N US HIGHWAY 89, FLAGSTAFF, AZ, 86004, USA",31926 N US HIGHWAY 89 FLAGSTAFF AZ 86004 USA,FLAGSTAFF,AZ,86004
17,WOODY'S,23505  MOHAVE RD,,PARKER,AZ,85344,33.99004826,-114.4003922,"23505  MOHAVE RD  PARKER, AZ 85344",Original,17.0,,,Correct,Correct,Correct,Correct,Active,WOODY'S,"23505  MOHAVE RD PARKER, AZ 85344",33.99004826,-114.4003922,POINT (-114.4003922 33.99004826),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,L11645201,WOODY'S LLC,GLENN STEWAR WOODEN,"Address: 2200 E CAMELBACK RD #206, PHOENIX, AZ, 85016, USA",2824 N POWER RD SUITE 113 MESA AZ 85215 USA,MESA,AZ,85215
20,LITTLE BROWN JUG,900 S CALIFORNIA AVE,,PARKER,AZ,85344,34.15131721,-114.28981019999999,"900 S CALIFORNIA AVE  PARKER, AZ 85344",Original,20.0,,,Correct,Correct,Correct,Correct,Active,LITTLE BROWN JUG,"900 S CALIFORNIA AVE PARKER, AZ 85344",34.15131721,-114.28981019999999,POINT (-114.2898102 34.15131721),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,02347199,"LITTLE BROWN JUG, INC.",JOHN C CHURCHILL,"Address: % JOHN C CHURCHILL 1300 JOSHUA AVE STE B, PARKER, AZ, 85344, USA",1300 JOSHUA AVE STE B PARKER AZ 85344 USA,PARKER,AZ,85344
21,LAKE MANOR GROCERY,10142 RIVERSIDE DR,,PARKER,AZ,85344,34.18554032,-114.22585359999998,"10142 RIVERSIDE DR  PARKER, AZ 85344",Original,21.0,,,LAKE MANOR MARKET,Correct,Correct,Correct,Closed,LAKE MANOR MARKET,"10142 RIVERSIDE DR PARKER, AZ 85344",34.18554032,-114.22585359999998,POINT (-114.2258536 34.18554032),No,0.16718460699999999,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,10940080,"LAKE MANOR MARKET, INC.",JAMES R COURSON SR,"Address: 10142 RIVERSIDE DR, PARKER, AZ, 85344, USA",9382 BLUFF DR PARKER AZ 85344 USA,PARKER,AZ,85344
22,CIRCLE K,1516 S CALIFORNIA AVE,,PARKER,AZ,85344,34.14518762,-114.286023,"1516 S CALIFORNIA AVE  PARKER, AZ 85344",Original,22.0,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"1516 S CALIFORNIA AVE PARKER, AZ 85344",34.14518762,-114.286023,POINT (-114.286023 34.14518762),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,,
23,CIRCLE K,8861  RIVERSIDE DR,,PARKER,AZ,85344,34.19988831,-114.2193001,"8861  RIVERSIDE DR  PARKER, AZ 85344",Original,23.0,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"8861  RIVERSIDE DR PARKER, AZ 85344",34.19988831,-114.2193001,POINT (-114.2193001 34.19988831),No,0.822683492,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,,
26,BEST BUY MARKET,8892  HIGHWAY 95,,MOHAVE VALLEY,AZ,86440,34.89831978,-114.59729420000001,"8892  HIGHWAY 95  MOHAVE VALLEY, AZ 86440",Original,26.0,1.0,yes,Correct,"8828 AZ-95, Mohave Valley, AZ 86440, USA",34.8985463,-114.5972987,Active,BEST BUY MARKET,"8828 AZ-95, Mohave Valley, AZ 86440, USA",34.8985463,-114.5972987,POINT (-114.5972987 34.89854629999999),No,0.041134057,,,Fort Mojave,Fort Mojave Reservation,From Original List,,,,,,8828 -95,MOHAVE VALLEY,AZ,86440,MOHAVE,MOHAVE,01134352,"BEST BUY MARKET, INC.",THOMAS E PRICE,"Address: 725 BROADWAY, NEEDLES, CA, 92363, USA",501 E OAK ST KINGMAN AZ 86401 USA,KINGMAN,AZ,86401
27,ARCO AM/PM,10001 HARBOR AVE,,MOHAVE VALLEY,AZ,86440,34.86571936,-114.5999112,"10001 HARBOR AVE  MOHAVE VALLEY, AZ 86440",Original,27.0,,,Correct,Correct,Correct,Correct,Active,ARCO AM/PM,"10001 HARBOR AVE MOHAVE VALLEY, AZ 86440",34.86571936,-114.5999112,POINT (-114.5999112 34.86571936),No,0.027728932,,,Fort Mojave,Fort Mojave Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,MOHAVE,MOHAVE,11005855,ARCO AM PM STORE 5376 INC,RASHID JABER,"Address: 8501 N 7TH ST, PHOENIX, AZ, 85020, USA",8501 N 7TH ST PHOENIX AZ 85020 USA,PHOENIX,AZ,85020
33,YAVAPAI INDIAN SMOKE SHOP,1841 E HIGHWAY 69,FRONTIER VILLAGE CENTER,PRESCOTT,AZ,86301,34.54984283,-112.43704220000001,"1841 E HIGHWAY 69 FRONTIER VILLAGE CENTER PRESCOTT, AZ 86301",Original,33.0,,,Correct,Correct,Correct,Correct,Active,YAVAPAI INDIAN SMOKE SHOP,"1841 E HIGHWAY 69 PRESCOTT, AZ 86301",34.54984283,-112.43704220000001,POINT (-112.4370422 34.54984283),Yes,0.0,Yavapai-Prescott,Yavapai-Prescott Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAVAPAI,YAVAPAI,L14765684,"YAVAPAI INDIAN SMOKE SHOP, L.L.C.",MICHAEL L HOLDSWORTH,"Address: 1841 E HIGHWAY 69 STE 101, PRESCOTT, AZ, 86301, USA",3031 DOLLAR MARK WAY STE B PRESCOTT AZ 86305 USA,PRESCOTT,AZ,86305
37,7-ELEVEN,230 R.R.,,KAYENTA,AZ,86033,36.90800476,-111.45520020000001,"230 R.R.  KAYENTA, AZ 86033",Original,37.0,,,Correct,Correct,Correct,Correct,Closed,7-ELEVEN,"230 R.R. KAYENTA, AZ 86033",36.90800476,-111.45520020000001,POINT (-111.4552002 36.90800476),No,1.9931439469999999,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,COCONINO,F00092778,"7-ELEVEN, INC.",CORPORATE CREATIONS NETWORK IN,"Address: % CORPORATE CREATIONS NETWORK 3260 N HAYDEN ROAD #210, SCOTTSDALE, AZ, 85251, USA",3260 N HAYDEN RD # 210 SCOTTSDALE AZ 85251 USA,SCOTTSDALE,AZ,85251
