IMPAQ_ID,doc_types,doc_date
15,['Website_Record'],
17,"['Affidavit of Publication', 'Affidavit of Publication', 'Articles of Organization', 'Website_Record']",2006
20,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', 'Officer/Director/Shareholder Change', 'Website_Record']",2018
21,"['2011 Annual Report', '2010 Annual Report', '2009 Annual Report', '2008 Annual Report', '2007 Annual Report', '2006 Annual Report', '2005 Annual Report', '2004 Annual Report', 'Website_Record']",2012
26,"['1999 Annual Report', '1997 Annual Report', '1998 Annual Report', '1997 Annual Report', '1996 Annual Report', 'Website_Record']",1999
27,"['Affidavit of Publication', 'Website_Record']",2004
33,"['Articles of Amendment - LLC', 'Articles of Amendment - LLC', 'Affidavit of Publication', 'Articles of Organization', 'Website_Record']",2018
37,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', 'Statement of Change - Corps', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', 'Website_Record']",2019
38,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', 'Statement of Change - Corps', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', 'Website_Record']",2019
39,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', 'Statement of Change - Corps', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', 'Website_Record']",2019
40,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', 'Statement of Change - Corps', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', 'Website_Record']",2019
45,"['2018 Annual Report', 'Records Request - Certified Copies - Corporations', '2017 Annual Report', '2016 Annual Report', 'Miscellaneous Document', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', 'Website_Record']",2018
55,"['Miscellaneous Document', 'Miscellaneous Document', 'Miscellaneous Document', 'Reinstatement', '2010 Annual Report', '2011 Annual Report', '2012 Annual Report', '2013 Annual Report', '2014 Annual Report', '2009 Annual Report', 'Website_Record']",2015
70,"['Statement of Change - Corps', '2002 Annual Report', '2001 Annual Report', '2000 Annual Report', '1999 Annual Report', '1998 Annual Report', '1997 Annual Report', '1996 Annual Report', '1995 Annual Report', 'Website_Record']",2006
71,"['Statement of Change - Corps', '2002 Annual Report', '2001 Annual Report', '2000 Annual Report', '1999 Annual Report', '1998 Annual Report', '1997 Annual Report', '1996 Annual Report', '1995 Annual Report', 'Website_Record']",2006
78,['Website_Record'],
95,"['Articles of Amendment - LLC', 'Articles of Amendment - LLC', 'Website_Record']",2016
97,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', '2010 Annual Report', 'Website_Record']",2019
102,"['Affidavit of Publication', 'Articles of Organization', 'Website_Record']",2008
114,"['2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', '2010 Annual Report', '2009 Annual Report', '2008 Annual Report', '2007 Annual Report', '2006 Annual Report', '2005 Annual Report', 'Website_Record']",2014
123,"['Affidavit of Publication', 'Website_Record']",2004
127,"['Affidavit of Publication', 'Affidavit of Publication', 'Articles of Organization', 'Website_Record']",2012
134,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', '2010 Annual Report', 'Website_Record']",2019
138,"['2005 Annual Report', '2004 Annual Report', '2003 Annual Report', '2002 Annual Report', '2001 Annual Report', '2000 Annual Report', '1999 Annual Report', '1998 Annual Report', '1996 Annual Report', '1995 Annual Report', 'Website_Record']",2005
153,"['Articles of Dissolution', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', '2010 Annual Report', 'Website_Record']",2018
159,"['2019 Annual Report', 'Statement of Change - Corps', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', 'Affidavit of Publication', 'Affidavit of Publication', 'Articles of Amendment to Application for Authority', 'Website_Record']",2019
161,"['Articles of Organization', 'Website_Record']",2010
165,"['Affidavit of Publication', 'Articles of Organization', 'Website_Record']",2010
167,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', 'Statement of Change - Corps', 'Articles of Amendment - Nonprofit', 'Affidavit of Publication', 'Articles of Incorporation - Nonprofit', 'Website_Record']",2019
2080,"['Articles of Organization', 'Website_Record']",2007
2115,"['Articles of Organization', 'Website_Record']",2019
2130,['Website_Record'],
2131,['Website_Record'],
2150,['Website_Record'],
2151,['Website_Record'],
2154,['Website_Record'],
2155,['Website_Record'],
2161,['Website_Record'],
2163,"['Statement of Change - Corps', '2002 Annual Report', '2001 Annual Report', '2000 Annual Report', '1999 Annual Report', '1998 Annual Report', '1997 Annual Report', '1996 Annual Report', '1995 Annual Report', 'Website_Record']",2006
2165,"['2013 Annual Report', '2012 Annual Report', '2011 Annual Report', '2010 Annual Report', '2009 Annual Report', '2008 Annual Report', '2007 Annual Report', '2006 Annual Report', '2005 Annual Report', '2005 Annual Report', 'Website_Record']",2013
2171,"['2019 Annual Report', '2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', '2011 Annual Report', '2010 Annual Report', 'Website_Record']",2019
