IMPAQ_ID,doc_types,doc_date
183,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2018
187,"['DISSOLUTION', 'CANCELLATION', 'REGISTRATION']",2010
189,"['CONDITIONAL DISSOLUTION', 'REGISTRATION']",2002
206,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2018
216,"['DISSOLUTION', 'REGISTRATION']",2011
221,"['DISSOLUTION', 'SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2009
224,"['SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION']",2018
231,"['SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION']",2018
232,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2018
233,[],
238,[],
240,"['SI-COMPLETE', 'REGISTRATION']",2017
241,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2019
242,[],
244,"['SI-COMPLETE', 'REGISTRATION']",2003
248,"['SI-COMPLETE', 'SI-COMPLETE', 'RESTATED REGISTRATION', 'RESTATED REGISTRATION', 'MERGER', 'MERGER', 'RESTATED REGISTRATION']",2018
263,"['SI-COMPLETE', 'REGISTRATION']",2018
278,"['CONDITIONAL DISSOLUTION', 'REGISTRATION']",2002
302,"['DISSOLUTION', 'SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2018
309,"['SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION']",2018
314,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2019
339,"['DISSOLUTION', 'REGISTRATION']",2011
340,"['DISSOLUTION', 'REGISTRATION']",2011
355,['REGISTRATION'],2008
356,"['DISSOLUTION', 'SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2014
360,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION']",2005
365,"['SI-NO CHANGE', 'SI-COMPLETE', 'AMENDMENT', 'AMENDMENT']",2019
368,"['SI-COMPLETE', 'REGISTRATION']",2017
1932,"['SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2018
1954,"['REGISTRATION', 'Website_Record']",2006
1962,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2019
1966,['Website_Record'],
1977,"['SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2018
2009,"['DISSOLUTION', 'SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2018
2032,"['DISSOLUTION', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2009
2043,"['DISSOLUTION', 'SI-NO CHANGE', 'REGISTRATION', 'Website_Record']",2007
2112,['Website_Record'],
2137,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2019
2141,"['SI-NO CHANGE', 'SI-COMPLETE', 'Website_Record']",2013
2142,"['CANCELLATION', 'REGISTRATION', 'Website_Record']",2014
2147,"['CANCELLATION', 'DISSOLUTION', 'SI-COMPLETE', 'AMENDMENT', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2006
2173,"['CANCELLATION', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2007
2346,"['SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2019
2374,"['SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2019
2440,"['CANCELLATION', 'SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2019
2469,"['CANCELLATION', 'REGISTRATION', 'Website_Record']",2016
2518,"['SI-COMPLETE', 'SI-COMPLETE', 'Website_Record']",2018
2540,"['MERGER', 'SI-COMPLETE', 'SI-COMPLETE', 'RESTATED REGISTRATION', 'REGISTRATION', 'Website_Record']",2009
2843,"['SI-NO CHANGE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2017
2855,"['SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2009
2857,"['CANCELLATION', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2007
2870,"['SI-COMPLETE', 'SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2018
2872,"['SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2013
3044,"['SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2019
3166,"['SI-COMPLETE', 'REGISTRATION', 'Website_Record']",2015
3257,"['REGISTRATION', 'Website_Record']",2019
3287,['Website_Record'],
