IMPAQ_ID,Filing Number,Entity Name,Entity Mailing Address,Entity Store Address,Entity Address,Agent Name,Agent Address,Operation Status
180,C3417083,AZTLAN CASINO RESORT AND SPA,6551 FRY ST  BELL GARDENS CA 90201,,6551 FRY ST  BELL GARDENS CA 90201,ROBERTO VALENZUELA,6551 FRY ST BELL GARDENS CA 90201,FTB SUSPENDED
182,C0503189,SOUTH PALM CANYON LIQUOR CORPORATION,1400 S. PALM CANYON DR.  PALM SPRINGS CA,,1400 S. PALM CANYON DR.  PALM SPRINGS CA,,,DISSOLVED
183,C4097211,CLUB LIQUOR & MARKET INC,1109 S PALM CANYON DR  PALM SPRINGS CA 92264,1109 S PALM CANYON DR  PALM SPRINGS CA 92264,1109 S PALM CANYON DR  PALM SPRINGS CA 92264,GEORGE ZAKOUR,1109 S PALM CANYON DR PALM SPRINGS CA 92264,ACTIVE
183,C3591100,"COUNTRY CLUB DELI & LIQUOR, INC.",3737 COLUMBUS ST  BAKERSFIELD CA 93306,3737 COLUMBUS ST  BAKERSFIELD CA 93306,3737 COLUMBUS ST  BAKERSFIELD CA 93306,ELIAS HANNA,3737 COLUMBUS ST BAKERSFIELD CA 93306,ACTIVE
183,C3266107,"COUNTRY CLUB LIQUOR, INC.",10975 VANALDEN AVE  NORTHRIDGE CA 91326,10975 VANALDEN AVE  NORTHRIDGE CA 91326,10975 VANALDEN AVE  NORTHRIDGE CA 91326,HASSAN MUBARA,21900 BURBANK BLVD #112 WOODLAND HILLS CA 91367,ACTIVE
183,C2199437,"L & F COUNTRY CLUB LIQUOR, INC.",300 E LASTUNAS DR  SAN GABRIEL CA 91776,300 E LASTUNAS DR  SAN GABRIEL CA 91776,300 E LASTUNAS DR  SAN GABRIEL CA 91776,TAMARA RAD,2932 STONEHILL DR ALTADENA CA 91001,SOS/FTB SUSPENDED
183,C2628089,"MARINES CLUB LIQUOR & DELI, INC.",615 SUTTER STREET  SAN FRANCISCIO CA 94102,615 SUTTER STREET  SAN FRANCISCIO CA 94102,615 SUTTER STREET  SAN FRANCISCIO CA 94102,OSAMA HABASH,615 SUTTER STREET SAN FRANCISCO CA 94102,DISSOLVED
183,C0503177,WELTY'S COUNTRY CLUB MARKET AND LIQUOR,42405 WASHINGTON  PALM DESERT CA 92260,,42405 WASHINGTON  PALM DESERT CA 92260,STEVE WELTY,42405 WASHINGTON PALM DESERT CA 92266,DISSOLVED
185,C2002780,"MEXICAN AMERICAN NATIVE AMERICAN TOBACCO COMPANY, INC.",8250 MCNELLY RD  BENTONVILLE AR 72712,8250 MCNELLY RD  BENTONVILLE AR 72712,8250 MCNELLY RD  BENTONVILLE AR 72712,,,SOS/FTB FORFEITED
185,200236410063,"ALL NATIVE TOBACCO AND SPECIALITY STORE, LLC",,251 JEANELL #3  CARSON CITY NV 89701,251 JEANELL #3  CARSON CITY NV 89701,DONNA PACKINGHAM,69-195 RAMON ROAD C-1 CATHEDRAL CITY CA 92234,FTB FORFEITED
