Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,URL,entity,agent_name,doc_date,agent_address,agent_city,agent_state,agent_zip
532,532,GRAND TRAVERSE RESORT AND SPA,Correct,GRAND TRAVERSE RESORT AND SPA,100 GRAND TRAVERSE VILLAGE BLVD.,Correct,100 GRAND TRAVERSE VILLAGE BLVD.,ACME,Correct,ACME,MI,Correct,MI,49610,Correct,49610.0,44.779968,Correct,44.779968,-85.487043,Correct,-85.487043,"100 GRAND TRAVERSE VILLAGE BLVD.  ACME, MI 49610",Correct,"100 GRAND TRAVERSE VILLAGE BLVD. ACME, MI 49610",,Correct,GRAND TRAVERSE,,Original,532.0,,,Active,POINT (-85.487043 44.779968),No,3.7659468503671287,,,Grand Traverse,Grand Traverse Off-Reservation Trust Land,From Original List,,,,,,801232565.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=801232565&SEARCH_TYPE=1,"GRAND TRAVERSE RESORT AND SPA, LLC",SCOTT CHOUINARD,,GRAND TRAVERSE RESORT & SPA,ACME,MI,49610.0
539,539,CARDINAL PHARMACY,Correct,CARDINAL PHARMACY,2410 S. LEATON RD.,2410 S LEATON RD,2410 S LEATON RD,MT. PLEASANT,MT PLEASANT,MT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,43.607822,43.605875299999994,43.605875299999994,-84.707852,-84.70846639999998,-84.70846639999998,"2410 S. LEATON RD.  MT. PLEASANT, MI 48858","2410 S Leaton Rd, Mt Pleasant, MI 48858, USA","2410 S Leaton Rd, Mt Pleasant, MI 48858, USA",,Correct,ISABELLA,,Original,539.0,,,Active,POINT (-84.70846639999998 43.6058753),Yes,0.0,Isabella,Isabella Reservation,,,From Original List,,,,,,,,,,,,,,
540,540,EAGLE BAY MARINA,Correct,EAGLE BAY MARINA,1893 SAGATOO RD.,Correct,1893 SAGATOO RD.,STANDISH,Correct,STANDISH,MI,Correct,MI,48658,Correct,48658.0,43.954067,Correct,43.954067,-83.883937,Correct,-83.883937,"1893 SAGATOO RD.  STANDISH, MI 48658",Correct,"1893 SAGATOO RD. STANDISH, MI 48658",,Correct,ARENAC,,Original,540.0,,,Active,POINT (-83.883937 43.95406699999999),No,0.1580887228269639,,,Isabella,Isabella Off-Reservation Trust Land,From Original List,,,,,,801408371.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=801408371&SEARCH_TYPE=1,"EAGLE BAY MARINA, LLC",ROBERT JUCKNIESS,,2410 S LEATON RD STE 1,MT PLEASANT,MI,48858.0
567,567,EXXON,Correct,EXXON,109 INDUSTRIAL DR.,Correct,109 INDUSTRIAL DR.,PHILADELPHIA,Correct,PHILADELPHIA,MI,Correct,MI,39350,Correct,39350.0,32.770005,Correct,32.770005,-89.190411,Correct,-89.190411,"109 INDUSTRIAL DR.  PHILADELPHIA, MI 39350",Correct,"109 INDUSTRIAL DR. PHILADELPHIA, MI 39350",,Correct,NESHOBA,,Original,567.0,,,Active,POINT (-89.190411 32.770005),Yes,0.0,Mississippi Choctaw,Mississippi Choctaw Reservation,,,From Original List,,,,,,,,,,,,,,
572,572,BENT TREE MARKET,Can't Validate,BENT TREE MARKET,58878 M-51 SOUTH,Can't Validate,58878 M-51 SOUTH,DOWAGIAC,Can't Validate,DOWAGIAC,MI,Can't Validate,MI,49047,Can't Validate,49047.0,41.943543,Can't Validate,41.943543,-86.161057,Can't Validate,-86.161057,"58878 M-51 SOUTH  DOWAGIAC, MI 49047",Can't Validate,"58878 M-51 SOUTH DOWAGIAC, MI 49047",,Can't Validate,CASS,,Original,572.0,0.0,,Can't Validate,POINT (-86.161057 41.943543),No,0.020599487389358368,,,Pokagon,Pokagon Off-Reservation Trust Land,From Original List,,,,,,,,,,,,,,
580,580,TOBY EIMERMAN INC,Correct,TOBY EIMERMAN INC,320 LAKE ST,Correct,320 LAKE ST,MANISTIQUE,Correct,MANISTIQUE,MI,Correct,MI,49854,Correct,49854.0,45.954416,Correct,45.954416,-86.242788,Correct,-86.242788,"320 LAKE ST  MANISTIQUE, MI 49854",Correct,"320 LAKE ST MANISTIQUE, MI 49854",SCHOOLCRAFT,Correct,SCHOOLCRAFT,,Original,580.0,1.0,maybe,Active,POINT (-86.242788 45.95441599999999),No,4.066830828908826,,,Sault Ste. Marie,Sault Ste. Marie Off-Reservation Trust Land,From Original List,,,,,,800254697.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=800254697&SEARCH_TYPE=1,"TOBY EIMERMAN, INC.",WILLIAM EIMERMAN,2019.0,324 S. LAKE ST.,MANISTIQUE,MI,49854.0
1933,1933,,,LIQUOR CENTRAL,2514 S ISABELLA RD,Correct,2514 S ISABELLA RD,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6042704,,,-84.74713,,,"2514 S Isabella Rd, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.74713 43.6042704),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,1532334.0,,,,,,,,,
1946,1946,,,HEALTH MART PHARMACY,18341 US HIGHWAY 41,Correct,18341 US HIGHWAY 41,LANSE,Correct,LANSE,MI,Correct,MI,49946,Correct,49946.0,,,46.7319,,,-88.4245558,,,"18341 US Highway 41, LAnse, MI, 49946",,Correct,BARAGA,,,,,,Active,POINT (-88.42455579999999 46.7319),Yes,,L'Anse,L'Anse Reservation,,,New Retailer,Independent,,,Y,3952600.0,,,,,,,,,
1999,1999,,,DOWNTOWN DISCOUNT,104 N MAIN ST,Correct,104 N MAIN ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.60434,,,-84.77667,,,"104 N Main St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.77667 43.60434),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,1525813.0,,,,,,,,,
2001,2001,,,WILD BILLS TOBACCO,100 S MISSION ST STE C,Correct,100 S MISSION ST STE C,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6040227,,,-84.7681529,,,"100 S Mission St Ste C, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7681529 43.6040227),Yes,,Isabella,Isabella Reservation,,,New Retailer,Wild Bills Tobacco HQ,Troy,MI,N,1526096.0,,,,,,,,,
