IMPAQ_ID,doc_types,doc_date
532,"['ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ARTICLES OF ORGANIZATION']",2018
540,"['ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ARTICLES OF ORGANIZATION']",2019
580,"['ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'CERTIFICATE OF CHANGE OF REGISTERED OFFICE AND_OR RESIDENT AGENT', 'ARTICLES OF INCORPORATION']",2019
2040,"['Website_Record', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ARTICLES OF INCORPORATION']",2016
2047,"['Website_Record', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'CERTIFICATE OF CHANGE OF REGISTERED OFFICE AND_OR RESIDENT AGENT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'CERTIFICATE OF ASSUMED NAME', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'CERTIFICATE OF EVIDENCING MERGER', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'AMENDED APP FOR CERTIFICATE OF AUTHORITY TO TRANSACT BUSINESS IN MI', 'ANNUAL REPORT', 'APP FOR CERT OF AUTH TO TRANSACT BUSINESS OR CONDUCT AFFAIRS IN MI']",2019
2186,"['Website_Record', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ARTICLES OF ORGANIZATION']",2019
2199,"['Website_Record', 'CERTIFICATE OF DISSOLUTION', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ARTICLES OF ORGANIZATION']",2011
2240,"['Website_Record', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ARTICLES OF ORGANIZATION']",2019
2241,['Website_Record'],
2362,"['Website_Record', 'ARTICLES OF INCORPORATION']",
2369,"['Website_Record', 'CERTIFICATE OF RESTORATION OF GOOD STANDING', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'CERTIFICATE OF CHANGE OF REGISTERED OFFICE AND_OR RESIDENT AGENT', 'ARTICLES OF ORGANIZATION']",2007
2378,"['Website_Record', 'CERTIFICATE OF RESTORATION OF GOOD STANDING', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'CERTIFICATE OF CHANGE OF REGISTERED OFFICE AND_OR RESIDENT AGENT', 'ARTICLES OF ORGANIZATION']",2007
2381,['Website_Record'],
2396,"['Website_Record', 'ARTICLES OF INCORPORATION']",
2410,"['Website_Record', 'ANNUAL REPORT', 'CERTIFICATE OF ASSUMED NAME', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'CERTIFICATE OF CHANGE OF REGISTERED OFFICE AND_OR RESIDENT AGENT', 'ARTICLES OF INCORPORATION']",2019
2463,"['Website_Record', 'ARTICLES OF INCORPORATION']",
2634,"['Website_Record', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'CERTIFICATE OF RESTORATION OF GOOD STANDING', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'CERTIFICATE OF RENEWAL OF ASSUMED NAME', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'CERTIFICATE OF ASSUMED NAME', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ANNUAL STATEMENT', 'ARTICLES OF ORGANIZATION']",2019
