Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Manual Validation Flag,SoS_record,URL,entity,agent_name,store_address,agent_address,agent_city,agent_state,agent_zip
584,584,STUMPS,STUMPS BAR AND GRILL,STUMPS BAR AND GRILL,500 MAIN ST.,523 MAIN ST,523 MAIN ST,BEJOU,Correct,BEJOU,MN,Correct,MN,56516,Correct,56516,47.44224418,47.4420681,47.44206810000001,-95.97608519,-95.9756408,-95.9756408,"500 MAIN ST.  BEJOU, MN 56516","523 Main St, Bejou, MN 56516, USA","523 Main St, Bejou, MN 56516, USA",MAHNOMEN,Correct,MAHNOMEN,,Original,584.0,1.0,yes,Active,POINT (-95.97564079999999 47.44206810000001),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,,,,,,,,,
585,585,WINNIBIGOSHISH HISTORICAL CENTER,Correct,WINNIBIGOSHISH HISTORICAL CENTER,1510 US 2 N.E.,1510 US-2,1510 US-2,BENA,Correct,BENA,MN,Correct,MN,56626,Correct,56626,47.23103,47.346293,47.346293,-94.37419,-94.208881,-94.208881,"1510 US 2 N.E.  BENA, MN 56626","1510 US-2, Bena, MN 56626, USA","1510 US-2, Bena, MN 56626, USA",CASS,Correct,CASS,,Original,585.0,,,Active,POINT (-94.20888100000001 47.346293),Yes,0.0,Leech Lake,Leech Lake Reservation,,,From Original List,,,,,,,8K-326,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=f4bcdb30-b4d4-e011-a886-001ec94ffe7f,"WINNIBIGOSHISH HISTORICAL CENTER, INC.",(Optional) Currently No Agent,,1510 US HWY 2 NE BENA MN 56626 USA,Bena,MN,56626
587,587,COUNTRY CORNER,Correct,COUNTRY CORNER,9497 HIGHWAY 2,9497 US-2,9497 US-2,BROOKSTON,Correct,BROOKSTON,MN,Correct,MN,55771,55711,55711,46.85563629999999,46.8559293,46.85592929999999,-92.67998864,-92.6801715,-92.6801715,"9497 HIGHWAY 2  BROOKSTON, MN 55771","9497 US-2, Brookston, MN 55711, USA","9497 US-2, Brookston, MN 55711, USA",,Correct,ST. LOUIS,,Original,587.0,,,Active,POINT (-92.6801715 46.85592929999999),Yes,0.0,Fond du Lac,Fond du Lac Reservation,,,From Original List,,,,,,,,,,,,,,,
588,588,PALACE JUNCTION C-STORE,Correct,PALACE JUNCTION C-STORE,6864 U.S. HWY. 2,6864 US-2,6864 US-2,CASS LAKE,Correct,CASS LAKE,MN,Correct,MN,56633,Correct,56633,47.38231533,47.3823715,47.38237150000001,-94.64909855,-94.649042,-94.649042,"6864 U.S. HWY. 2  CASS LAKE, MN 56633","6864 US-2, Cass Lake, MN 56633, USA","6864 US-2, Cass Lake, MN 56633, USA",,Correct,CASS,,Original,588.0,,,Active,POINT (-94.64904199999999 47.38237150000001),Yes,0.0,Leech Lake,Leech Lake Reservation,,,From Original List,,,,,,,,,,,,,,,
589,589,BIG LAKE GOLF CLUB,Correct,BIG LAKE GOLF CLUB,789 CARY RD.,780 CARY RD,780 CARY RD,CLOQUET,Correct,CLOQUET,MN,Correct,MN,55720,Correct,55720,46.7157108,46.7199146,46.7199146,-92.61807036,-92.617889,-92.617889,"789 CARY RD.  CLOQUET, MN 55720","780 Cary Rd, Cloquet, MN 55720, USA","780 Cary Rd, Cloquet, MN 55720, USA",,Correct,CARLTON,,Original,589.0,,,Active,POINT (-92.61788900000001 46.7199146),Yes,0.0,Fond du Lac,Fond du Lac Reservation,,,From Original List,,,,,,,3327400-2,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=8a10d8eb-93d4-e011-a886-001ec94ffe7f,"BIG LAKE GOLF CLUB, INC.",Richard E Campbell,,780 CARY RD CLOQUET MN 55750 USA,Cloquet,MN,55750
591,591,HARWOODS,Correct,HARWOODS,30871 ARTIC RD.,Correct,30871 ARTIC RD.,DEER RIVER,Correct,DEER RIVER,MN,Correct,MN,56636,Correct,56636,47.32293305,Correct,47.32293305,-93.93650296,Correct,-93.93650296,"30871 ARTIC RD.  DEER RIVER, MN 56636",Correct,"30871 ARTIC RD. DEER RIVER, MN 56636",,Correct,ITASCA,,Original,591.0,1.0,yes,Active,POINT (-93.93650296 47.32293305),Yes,0.0,Leech Lake,Leech Lake Reservation,,,From Original List,,,,,,,,,,,,,,,
592,592,WINNIE ONE STOP,WINNIE TRADING POST,WINNIE TRADING POST,38499 STATE HWY. 46,38499 -46,38499 -46,DEER RIVER,Correct,DEER RIVER,MN,Correct,MN,56636,Correct,56636,47.43565406,47.433121,47.433121,-94.01442918,-94.012808,-94.012808,"38499 STATE HWY. 46  DEER RIVER, MN 56636","38499 MN-46, Deer River, MN 56636, USA","38499 MN-46, Deer River, MN 56636, USA",,Correct,ITASCA,,Original,592.0,,,Active,POINT (-94.01280799999999 47.433121),Yes,0.0,Leech Lake,Leech Lake Reservation,,,From Original List,,,,,,,998966100037,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=40e3adca-fc17-e811-9157-00155d0d6f70,WINNIE TRADING POST,,"38499 State Highway 46
Deer River, MN 56636
USA",,,,
594,594,RYDENS,Correct,RYDENS,9301 RYDEN RD,Correct,9301 RYDEN RD,GRAND PORTAGE,Correct,GRAND PORTAGE,MN,Correct,MN,55605,Correct,55605,47.9996275,Correct,47.9996275,-89.60137625,Correct,-89.60137625,"9301 RYDEN RD  GRAND PORTAGE, MN 55605",Correct,"9301 RYDEN RD GRAND PORTAGE, MN 55605",,Correct,COOK,,Original,594.0,,,Active,POINT (-89.60137625 47.9996275),Yes,0.0,Grand Portage,Grand Portage Reservation,,,From Original List,,,,,,,,,,,,,,,
595,595,RYDENS GAS,Correct,RYDENS GAS,9293 RYDEN RD.,Correct,9293 RYDEN RD.,GRAND PORTAGE,Correct,GRAND PORTAGE,MN,Correct,MN,55605,Correct,55605,47.99961851,Correct,47.99961851,-89.6011694,Correct,-89.6011694,"9293 RYDEN RD.  GRAND PORTAGE, MN 55605",Correct,"9293 RYDEN RD. GRAND PORTAGE, MN 55605",,Correct,COOK,,Original,595.0,,,Active,POINT (-89.6011694 47.99961851),Yes,0.0,Grand Portage,Grand Portage Reservation,,,From Original List,,,,,,,2413064-2,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=c3fe5905-90d4-e011-a886-001ec94ffe7f,"Ryden's Gas, LLC",(Optional) Currently No Agent,,9293 RYDEN RD GRAND PORTAGE MN 55605 USA,Grand Portage,MN,55605
599,599,CENEX,Correct,CENEX,1452 STATE HIGHWAY 200,1452 -200,1452 -200,MAHNOMEN,Correct,MAHNOMEN,MN,Correct,MN,56557,Correct,56557,47.325386,47.326133,47.326133,-95.95853,-95.9645137,-95.9645137,"1452 STATE HIGHWAY 200  MAHNOMEN, MN 56557","1452 MN-200, Mahnomen, MN 56557, USA","1452 MN-200, Mahnomen, MN 56557, USA",,Correct,MAHNOMEN,,Census,599.0,1.0,yes,Active,POINT (-95.9645137 47.32613300000001),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,988857900021,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=305e2ddd-61ea-e711-9154-00155d0d6f70,Cenex,,"215 Central Avenue S
PO Box 89
Elbow Lake, MN 56531
USA",,,,
600,600,RED APPLE CAFE,Correct,RED APPLE CAFE,116 MAIN DR.E.,Correct,116 MAIN DR.E.,MAHNOMEN,Correct,MAHNOMEN,MN,Correct,MN,56557,Correct,56557,47.31588,Correct,47.31588,-95.96847,Correct,-95.96847,"116 MAIN DR.E.  MAHNOMEN, MN 56557",Correct,"116 MAIN DR.E. MAHNOMEN, MN 56557",,Correct,MAHNOMEN,,Original,600.0,,,Active,POINT (-95.96847 47.31588),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,1076536300025,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=5131a4c8-e24c-e911-9171-00155d01b439,Red Apple Cafe,,"116 N Main Street
Mahnomen, MN 56557
USA",,,,
601,601,ROY LAKE STORE,Correct,ROY LAKE STORE,3395 STATE HIGHWAY 200,3395 -200,3395 -200,MAHNOMEN,Correct,MAHNOMEN,MN,Correct,MN,56557,Correct,56557,47.325226,47.3252021,47.3252021,-95.55192,-95.5520409,-95.5520409,"3395 STATE HIGHWAY 200  MAHNOMEN, MN 56557","3395 MN-200, Mahnomen, MN 56557, USA","3395 MN-200, Mahnomen, MN 56557, USA",,Correct,MAHNOMEN,,Census,601.0,,,Active,POINT (-95.55204089999999 47.32520210000001),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,891429000028,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=2762ef85-c32d-e611-816a-00155d01c56d,"Roy Lake Store, LLC",Bruggeman Law Office P.L.L.C.,,402 EAST THIRD ST SUITE 2 ADA MN 56510 USA,Ada,MN,56510
605,605,BROKEN ARROW RESORT,Correct,BROKEN ARROW RESORT,2832 CO. ROAD 110,Correct,2832 CO. ROAD 110,NAYTAHWAUSH,Correct,NAYTAHWAUSH,MN,Correct,MN,56566,Correct,56566,47.23465574,Correct,47.23465574,-95.60684029,Correct,-95.60684029,"2832 CO. ROAD 110  NAYTAHWAUSH, MN 56566",Correct,"2832 CO. ROAD 110 NAYTAHWAUSH, MN 56566",,Correct,MAHNOMEN,,Original,605.0,,,Active,POINT (-95.60684028999999 47.23465574),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,,,,,,,,,
606,606,VILLAGE STORE,Correct,VILLAGE STORE,230 SHORE AVENUE,Correct,230 SHORE AVENUE,NAYTAHWAUSH,Correct,NAYTAHWAUSH,MN,Correct,MN,56566,Correct,56566,47.26506181,Correct,47.26506181,-95.63143673,Correct,-95.63143673,"230 SHORE AVENUE  NAYTAHWAUSH, MN 56566",Correct,"230 SHORE AVENUE NAYTAHWAUSH, MN 56566",,Correct,MAHNOMEN,,Original,606.0,,,Active,POINT (-95.63143673 47.26506181),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,,,,,,,,,
608,608,STRAWBERRY LAKE STORE,Correct,STRAWBERRY LAKE STORE,32000 COUNTY ROAD 143,Correct,32000 COUNTY ROAD 143,OGEMA,Correct,OGEMA,MN,Correct,MN,56569,Correct,56569,47.04991704,Correct,47.04991704,-95.72135996,Correct,-95.72135996,"32000 COUNTY ROAD 143  OGEMA, MN 56569",Correct,"32000 COUNTY ROAD 143 OGEMA, MN 56569",,Correct,BECKER,,Original,608.0,,,Active,POINT (-95.72135996 47.04991704),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,1064928800027,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=114aeb9f-de20-e911-916a-00155d0deff0,Strawberry Lake Store,,"32000 co rd 143
Ogema, Minnesota 56569-9543–5656
United States",,,,
609,609,TRAILSIDE WINE & SPIRITS,Correct,TRAILSIDE WINE & SPIRITS,208 WALL ST. S. PO BOX 364,Correct,208 WALL ST. S. PO BOX 364,ONAMIA,Correct,ONAMIA,MN,Correct,MN,56359,Correct,56359,46.07065218,Correct,46.07065218,-93.66000809,Correct,-93.66000809,"208 WALL ST. S. PO BOX 364  ONAMIA, MN 56359",Correct,"208 WALL ST. S. PO BOX 364 ONAMIA, MN 56359",,Correct,MILLE LACS,,Original,609.0,,,Closed,POINT (-93.66000809000001 46.07065218),Yes,0.0,Mille Lacs,Mille Lacs Reservation,,,From Original List,,,,,,,3791907-2,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=103ac89a-95d4-e011-a886-001ec94ffe7f,Trailside Wine & Spirits,,"212 Co Rd 37
New Prague, MN 56071
USA",,,,
