Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
730,730,FORT BELKNAP KWIK STOP,Correct,FORT BELKNAP KWIK STOP,148 ASSINIBOINE,Correct,148 ASSINIBOINE,HARLEM,Correct,HARLEM,MT,Correct,MT,59526,Correct,59526.0,48.527739,Correct,48.527739,-108.7890764,Correct,-108.7890764,"148 ASSINIBOINE  HARLEM, MT 59526",Correct,"148 ASSINIBOINE HARLEM, MT 59526",BLAINE,Correct,BLAINE,,Google,730.0,,,Active,POINT (-108.7890764 48.527739),No,1.6315192184893037,,,Fort Belknap,Fort Belknap Reservation,From Original List,,,,,
731,731,HORSESHOE BAR,THE HORSESHOE BAR,THE HORSESHOE BAR,57777 E US HIGHWAY 2,20390726303020000,20390726303020000,OSWEGO,WOLF POINT,WOLF POINT,MT,Correct,MT,59201,Correct,59201.0,48.06364,48.06214259999999,48.06214259999999,-105.8799,-105.88638200000001,-105.88638200000001,"57777 E US HIGHWAY 2  OSWEGO, MT 59201","20390726303020000, Wolf Point, MT 59201, USA","20390726303020000, Wolf Point, MT 59201, USA",ROOSEVELT,Correct,VALLEY,,Original,731.0,,,Active,POINT (-105.886382 48.06214259999999),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
732,732,APSAALOOKE NIGHTS CASINO,Correct,APSAALOOKE NIGHTS CASINO,71 HERITAGE RD.,71 HERITAGE ROADE,71 HERITAGE ROADE,CROW AGENCY,Correct,CROW AGENCY,MT,Correct,MT,59022,Correct,59022.0,45.58006,45.58006339999999,45.58006339999999,-107.4506,-107.45062479999999,-107.45062479999999,"71 HERITAGE RD.  CROW AGENCY, MT 59022","71 Heritage Roade, Crow Agency, MT 59022, USA","71 Heritage Roade, Crow Agency, MT 59022, USA",,Correct,BIG HORN,,Original,732.0,,,Closed,POINT (-107.4506248 45.58006339999999),Yes,0.0,Crow,Crow Reservation,,,From Original List,,,,,
733,733,APSAALOOKE TRADING POST,Correct,APSAALOOKE TRADING POST,101 MAIN ST.,Correct,101 MAIN ST.,CROW AGENCY,Correct,CROW AGENCY,MT,Correct,MT,59022,Correct,59022.0,45.31269,Correct,45.31269,-107.3634,Correct,-107.3634,"101 MAIN ST.  CROW AGENCY, MT 59022",Correct,"101 MAIN ST. CROW AGENCY, MT 59022",,Correct,BIG HORN,,Original,733.0,,,Active,POINT (-107.3634 45.31269),Yes,0.0,Crow,Crow Reservation,,,From Original List,,,,,
734,734,BIG HORN CASINO,Can't Validate,BIG HORN CASINO,1 MAIN ST. PARKDALE CT.,Can't Validate,1 MAIN ST. PARKDALE CT.,FORT SMITH,Can't Validate,FORT SMITH,MT,Can't Validate,MT,59035,Can't Validate,59035.0,45.30756,Can't Validate,45.30756,-107.9164,Can't Validate,-107.9164,"1 MAIN ST. PARKDALE CT.  FORT SMITH, MT 59035",Can't Validate,"1 MAIN ST. PARKDALE CT. FORT SMITH, MT 59035",,Can't Validate,BIG HORN,,Original,734.0,0.0,,Can't Validate,POINT (-107.9164 45.30756),No,0.061842989807133035,,,Crow,Crow Reservation,From Original List,,,,,
735,735,BIG HORN IGA,Correct,BIG HORN IGA,901 N. CENTER ST.,Correct,901 N. CENTER ST.,HARDIN,Correct,HARDIN,MT,Correct,MT,59034,Correct,59034.0,45.738267,Correct,45.738267,-107.605969,Correct,-107.605969,"901 N. CENTER ST.  HARDIN, MT 59034",Correct,"901 N. CENTER ST. HARDIN, MT 59034",,Correct,BIG HORN,,Original,735.0,1.0,yes,Active,POINT (-107.605969 45.738267),No,0.604650646837287,,,Crow,Crow Reservation,From Original List,,,,,
736,736,CROW MERCANTILE,Correct,CROW MERCANTILE,17 BALA ST.,Correct,17 BALA ST.,CROW AGENCY,Correct,CROW AGENCY,MT,Correct,MT,59022,Correct,59022.0,45.60661500000001,Correct,45.60661500000001,-107.461041,Correct,-107.461041,"17 BALA ST.  CROW AGENCY, MT 59022",Correct,"17 BALA ST. CROW AGENCY, MT 59022",,Correct,BIG HORN,,Original,736.0,,,Active,POINT (-107.461041 45.60661500000001),Yes,0.0,Crow,Crow Reservation,,,From Original List,,,,,
737,737,CUSTER BATTLEFIELD TRADING POST,Correct,CUSTER BATTLEFIELD TRADING POST,347 U.S. 212,347 US-212,347 US-212,CROW AGENCY,Correct,CROW AGENCY,MT,Correct,MT,59022,Correct,59022.0,45.57937,45.5793708,45.5793708,-107.4429,-107.44294,-107.44294,"347 U.S. 212  CROW AGENCY, MT 59022","347 US-212, Crow Agency, MT 59022, USA","347 US-212, Crow Agency, MT 59022, USA",,Correct,BIG HORN,,Original,737.0,,,Active,POINT (-107.44294 45.5793708),Yes,0.0,Crow,Crow Reservation,,,From Original List,,,,,
738,738,LAME DEER TRADING,LAME DEER TRADING POST,LAME DEER TRADING POST,501 CHEYENNE AVE.,Correct,501 CHEYENNE AVE.,LAME DEER,Correct,LAME DEER,MT,Correct,MT,59043,Correct,59043.0,45.622571,Correct,45.622571,-106.665948,Correct,-106.665948,"501 CHEYENNE AVE.  LAME DEER, MT 59043",Correct,"501 CHEYENNE AVE. LAME DEER, MT 59043",,Correct,ROSEBUD,,Original,738.0,,,Active,POINT (-106.665948 45.622571),Yes,0.0,Northern Cheyenne,Northern Cheyenne Indian Reservation,,,From Original List,,,,,
739,739,LITTLE HORN IGA,Correct,LITTLE HORN IGA,100 MAIN ST.,Correct,100 MAIN ST.,LODGE GRASS,Correct,LODGE GRASS,MT,Correct,MT,59050,Correct,59050.0,45.31245300000001,Correct,45.31245300000001,-107.363323,Correct,-107.363323,"100 MAIN ST.  LODGE GRASS, MT 59050",Correct,"100 MAIN ST. LODGE GRASS, MT 59050",,Correct,BIG HORN,,Original,739.0,,,Active,POINT (-107.363323 45.31245300000001),Yes,0.0,Crow,Crow Reservation,,,From Original List,,,,,
740,740,YELLOWTAIL MARKET,Correct,YELLOWTAIL MARKET,1 MAIN ST. PARKDALE CT.,1 YELLOWTAIL ST,1 YELLOWTAIL ST,FORT SMITH,Correct,FORT SMITH,MT,Correct,MT,59035,Correct,59035.0,45.30756,45.307555799999996,45.307555799999996,-107.9164,-107.9163898,-107.9163898,"1 MAIN ST. PARKDALE CT.  FORT SMITH, MT 59035","1 Yellowtail St, Fort Smith, MT 59035, USA","1 Yellowtail St, Fort Smith, MT 59035, USA",,Correct,BIG HORN,,Original,740.0,,,Closed,POINT (-107.9163898 45.3075558),No,0.061180651684026935,,,Crow,Crow Reservation,From Original List,,,,,
741,741,FORT BELKNAP CASINO,Correct,FORT BELKNAP CASINO,104 ASSINIBOINE AVE.,Correct,104 ASSINIBOINE AVE.,HARLEM,Correct,HARLEM,MT,Correct,MT,59526,Correct,59526.0,48.4822,Correct,48.4822,-108.7557,Correct,-108.7557,"104 ASSINIBOINE AVE.  HARLEM, MT 59526",Correct,"104 ASSINIBOINE AVE. HARLEM, MT 59526",,Correct,BLAINE,,Original,741.0,,,Active,POINT (-108.7557 48.4822),Yes,0.0,Fort Belknap,Fort Belknap Reservation,,,From Original List,,,,,
742,742,MARTIN'S STORE,Correct,MARTIN'S STORE,MAIN ST.,MARTIN DR,MARTIN DR,HAYS,Correct,HAYS,MT,Correct,MT,59527,Correct,59527.0,47.98212,47.989131799999996,47.989131799999996,-108.6857,-108.6986715,-108.6986715,"MAIN ST.  HAYS, MT 59527","martin dr, Hays, MT 59527, USA","martin dr, Hays, MT 59527, USA",,Correct,BLAINE,,Original,742.0,,,Active,POINT (-108.6986715 47.9891318),Yes,0.0,Fort Belknap,Fort Belknap Reservation,,,From Original List,,,,,
743,743,ALBERTSONS,Correct,ALBERTSONS,415 BLAINE ST.,Correct,415 BLAINE ST.,WOLF POINT,Correct,WOLF POINT,MT,Correct,MT,59201,Correct,59201.0,48.092644,Correct,48.092644,-105.643506,Correct,-105.643506,"415 BLAINE ST.  WOLF POINT, MT 59201",Correct,"415 BLAINE ST. WOLF POINT, MT 59201",,Correct,ROOSEVELT,,Original,743.0,,,Active,POINT (-105.643506 48.092644),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
744,744,ARLO'S BAR,Correct,ARLO'S BAR,221 MAIN ST.,Correct,221 MAIN ST.,WOLF POINT,Correct,WOLF POINT,MT,Correct,MT,59201,Correct,59201.0,48.090463,Correct,48.090463,-105.639643,Correct,-105.639643,"221 MAIN ST.  WOLF POINT, MT 59201",Correct,"221 MAIN ST. WOLF POINT, MT 59201",,Correct,ROOSEVELT,,Original,744.0,,,Active,POINT (-105.639643 48.090463),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
745,745,B&S QWIK STOP,Can't Validate,B&S QWIK STOP,U.S. 2,Can't Validate,U.S. 2,BROCKTON,Can't Validate,BROCKTON,MT,Can't Validate,MT,59255,Can't Validate,59255.0,48.14914,Can't Validate,48.14914,-104.9145,Can't Validate,-104.9145,"U.S. 2  BROCKTON, MT 59255",Can't Validate,"U.S. 2 BROCKTON, MT 59255",,Can't Validate,ROOSEVELT,,Original,745.0,0.0,,Can't Validate,POINT (-104.9145 48.14914),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
746,746,BARACKER'S BAR,Correct,BARACKER'S BAR,206 W. POPLAR #B,206 B ST W,206 B ST W,POPLAR,Correct,POPLAR,MT,Correct,MT,59255,Correct,59255.0,48.47576,48.1087219,48.1087219,-105.1977,-105.19783600000001,-105.19783600000001,"206 W. POPLAR #B  POPLAR, MT 59255","206 B St W, Poplar, MT 59255, USA","206 B St W, Poplar, MT 59255, USA",,Correct,ROOSEVELT,,Original,746.0,,,Active,POINT (-105.197836 48.1087219),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
747,747,BUCKHORN BAR & RESTAURANT,Correct,BUCKHORN BAR & RESTAURANT,203 2ND AVE. W.,Correct,203 2ND AVE. W.,POPLAR,Correct,POPLAR,MT,Correct,MT,59255,Correct,59255.0,48.109151,Correct,48.109151,-105.19695,Correct,-105.19695,"203 2ND AVE. W.  POPLAR, MT 59255",Correct,"203 2ND AVE. W. POPLAR, MT 59255",,Correct,ROOSEVELT,,Original,747.0,,,Active,POINT (-105.19695 48.109151),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
748,748,CENEX,Correct,CENEX,211 F ST. W.,Correct,211 F ST. W.,POPLAR,Correct,POPLAR,MT,Correct,MT,59255,Correct,59255.0,48.112967,Correct,48.112967,-105.198399,Correct,-105.198399,"211 F ST. W.  POPLAR, MT 59255",Correct,"211 F ST. W. POPLAR, MT 59255",,Correct,ROOSEVELT,,Original,748.0,,,Active,POINT (-105.198399 48.112967),Yes,0.0,Fort Peck,Fort Peck Indian Reservation,,,From Original List,,,,,
