IMPAQ_ID,doc_type,doc_date
737,Website_Record,2019
738,Website_Record,2019
738,Website_Record,2019
743,Website_Record,2019
746,Website_Record,2019
749,Website_Record,2019
751,Website_Record,2002
756,Website_Record,2019
756,Website_Record,2019
765,Website_Record,2019
766,Website_Record,2018
787,Website_Record,2019
788,Website_Record,2019
793,Website_Record,2017
795,Website_Record,2019
805,Website_Record,2019
805,Website_Record,2019
808,Website_Record,
2049,Website_Record,2019
2127,Website_Record,2018
2386,Website_Record,2019
2405,Website_Record,2019
2405,Website_Record,2019
2556,Website_Record,2019
2571,Website_Record,2019
2622,Website_Record,2019
2645,Website_Record,2017
2681,Website_Record,2019
2745,Website_Record,2019
2792,Website_Record,2019
2831,Website_Record,2019
2831,Website_Record,2019
2831,Website_Record,2019
2913,Website_Record,2019
3213,Website_Record,2013
3255,Website_Record,2012
