Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
881,881,PUEBLO DE COCHITI CONVENIENCE STOR,Correct,PUEBLO DE COCHITI CONVENIENCE STOR,1405 COCHITI HWY,Correct,1405 COCHITI HWY,COCHITI LAKE,Correct,COCHITI LAKE,NM,Correct,NM,87043,87083,87083.0,35.64788096,35.6476811,35.6476811,-106.3311657,-106.33106509999999,-106.33106509999999,"1405 COCHITI HWY  COCHITI LAKE, NM 87043","1405 Cochiti Hwy, Cochiti Lake, NM 87083, USA","1405 Cochiti Hwy, Cochiti Lake, NM 87083, USA",SANDOVAL,Correct,SANDOVAL,,Original,881.0,,,Active,POINT (-106.3310651 35.6476811),Yes,0.0,Cochiti,Pueblo de Cochiti,,,From Original List,,,,,,,,,,,,
882,882,NAVAJO LAKE MARINA,Correct,NAVAJO LAKE MARINA,1448 HWY 511 HBU#6,#42 CR 4110,#42 CR 4110,NAVAJO DAM,Correct,NAVAJO DAM,NM,Correct,NM,87419,Correct,87419.0,36.80749569,36.8190683,36.8190683,-107.6103057,-107.61409350000001,-107.61409350000001,"1448 HWY 511 HBU#6  NAVAJO DAM, NM 87419","#42 CR 4110, Navajo Dam, NM 87419, USA","#42 CR 4110, Navajo Dam, NM 87419, USA",SAN JUAN,Correct,SAN JUAN,,Original,882.0,,,Active,POINT (-107.6140935 36.8190683),No,11.816371250829082,,,Southern Ute,Southern Ute Reservation,From Original List,,,,,,,,,,,,
883,883,ALLSUP'S/PHILLIPS 66,Correct,ALLSUP'S/PHILLIPS 66,507 PASEO DEL PUEBLO NORTE,Correct,507 PASEO DEL PUEBLO NORTE,TAOS,Correct,TAOS,NM,Correct,NM,87571,Correct,87571.0,36.36955976,Correct,36.36955976,-105.5968154,Correct,-105.5968154,"507 PASEO DEL PUEBLO NORTE  TAOS, NM 87571",Correct,"507 PASEO DEL PUEBLO NORTE TAOS, NM 87571",TAOS,Correct,TAOS,,Original,883.0,1.0,yes,Active,POINT (-105.5968154 36.36955976),No,2.0724098676587226,,,Taos,Taos Pueblo,From Original List,,,,,,,,,,,,
884,884,CAMEL ROCK,CAMEL ROCK CASINO,CAMEL ROCK CASINO,17486 U.S. HWY 84-285,17486A US-84,17486A US-84,SANTA FE,Correct,SANTA FE,NM,Correct,NM,87506,Correct,87506.0,35.77928,35.769459499999996,35.769459499999996,-105.9478,-105.94715009999999,-105.94715009999999,"17486 U.S. HWY 84-285  SANTA FE, NM 87506","17486A US-84, Santa Fe, NM 87506, USA","17486A US-84, Santa Fe, NM 87506, USA",SANTA FE,Correct,SANTA FE,,Original,884.0,1.0,no,Closed,POINT (-105.9471501 35.7694595),Yes,0.0,Tesuque,Tesuque Pueblo,,,From Original List,,,,,,,,,,,,
885,885,ABE'S MOTEL &  FLY SHOP INC.,Correct,ABE'S MOTEL &  FLY SHOP INC.,1791 HWY 173,1791 -173,1791 -173,NAVAJO DAM,Correct,NAVAJO DAM,NM,Correct,NM,87419,Correct,87419.0,36.80486766,36.805223,36.805223,-107.6953019,-107.695698,-107.695698,"1791 HWY 173  NAVAJO DAM, NM 87419","1791 NM-173, Navajo Dam, NM 87419, USA","1791 NM-173, Navajo Dam, NM 87419, USA",SAN JUAN,Correct,SAN JUAN,,Original,885.0,,,Active,POINT (-107.695698 36.805223),No,10.129072537537633,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,,,,,,,
886,886,SPORTSMAN'S INN,Correct,SPORTSMAN'S INN,1808 NEW MEXICO 173,Correct,1808 NEW MEXICO 173,NAVAJO DAM,Correct,NAVAJO DAM,NM,Correct,NM,87419,Correct,87419.0,36.80495062,Correct,36.80495062,-107.6928365,Correct,-107.6928365,"1808 NEW MEXICO 173  NAVAJO DAM, NM 87419",Correct,"1808 NEW MEXICO 173 NAVAJO DAM, NM 87419",SAN JUAN,Correct,SAN JUAN,,Original,886.0,1.0,yes,Active,POINT (-107.6928365 36.80495062),No,10.155848588096974,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,,,,,,,
887,887,PHILLIPS 66,Correct,PHILLIPS 66,2016 TAOS HWY,1547 PASEO DEL PUEBLO SUR,1547 PASEO DEL PUEBLO SUR,SAN JUAN PUEBLO,TAOS,TAOS,NM,Correct,NM,87566,87571,87571.0,,36.3662759,36.3662759,,-105.59967320000001,-105.59967320000001,"2016 TAOS HWY  SAN JUAN PUEBLO, NM 87566","1547 Paseo Del Pueblo Sur, Taos, NM 87571, USA","1547 Paseo Del Pueblo Sur, Taos, NM 87571, USA",RIO ARRIBA,Correct,TAOS,,Original,887.0,,,Active,POINT (-105.5996732 36.3662759),Unknown,,Unknown,Unknown,,,From Original List,,,,,,,,,,,,
888,888,SAN FELIPE PUEBLO TRAVEL CENTER,SAN FELIPE TRAVEL CENTER AND PUEBLO RESTAURANT,SAN FELIPE TRAVEL CENTER AND PUEBLO RESTAURANT,26 HAGAN ROAD,26 HAGON RD,26 HAGON RD,SAN FELIPE PUEBLO,ALGODONES,ALGODONES,NM,Correct,NM,87001,Correct,87001.0,35.41539726,35.4162076,35.4162076,-106.4013668,-106.40173130000001,-106.40173130000001,"26 HAGAN ROAD  SAN FELIPE PUEBLO, NM 87001","26 Hagon Rd, Algodones, NM 87001, USA","26 Hagon Rd, Algodones, NM 87001, USA",SANDOVAL,Correct,SANDOVAL,,Original,888.0,,,Active,POINT (-106.4017313 35.4162076),Yes,0.0,San Felipe,San Felipe Pueblo,,,From Original List,,,,,,,,,,,,
889,889,EAGLE MART,OHKAY EAGLE MART,OHKAY EAGLE MART,2208 RIVERSIDE DR,Correct,2208 RIVERSIDE DR,ESPANOLA,Correct,ESPANOLA,NM,Correct,NM,87532,Correct,87532.0,36.0259109,Correct,36.0259109,-106.0640221,Correct,-106.0640221,"2208 RIVERSIDE DR  ESPANOLA, NM 87532",Correct,"2208 RIVERSIDE DR ESPANOLA, NM 87532",RIO ARRIBA,Correct,RIO ARRIBA,,Original,889.0,1.0,yes,Active,POINT (-106.0640221 36.0259109),Yes,0.0,Ohkay Owingeh,Ohkay Owingeh,,,From Original List,,,,,,,,,,,,
890,890,CIRCLE W FOOD STORE,CIRCLE W PAWN,CIRCLE W PAWN,3316 HIGHWAY 64,Correct,3316 HIGHWAY 64,WATERFLOW,Correct,WATERFLOW,NM,Correct,NM,87421,Correct,87421.0,36.76007,Correct,36.76007,-108.4674,Correct,-108.4674,"3316 HIGHWAY 64  WATERFLOW, NM 87421",Correct,"3316 HIGHWAY 64 WATERFLOW, NM 87421",SAN JUAN,Correct,SAN JUAN,,Original,890.0,1.0,yes,Active,POINT (-108.4674 36.76007),No,0.8490647641325911,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,,,,,,,
