Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
1222,1222,OK402246,SHIDLER COUNTRY STORE,101 S COSDEN,,SHIDLER,OK,74652,36.78193431,-96.66130676,"101 S COSDEN  SHIDLER, OK 74652",Original,1222.0,,,Correct,"100 Cosden Ave, Shidler, OK 74652, USA",36.7818191,-96.6610089,Active,SHIDLER COUNTRY STORE,"100 Cosden Ave, Shidler, OK 74652, USA",36.7818191,-96.6610089,POINT (-96.6610089 36.7818191),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,100 COSDEN AVE,SHIDLER,OK,74652,OSAGE,OSAGE,1900406334,"SHIDLER COUNTRY STORE, INC.",LOETTA SMITH,,SHIDLER,OK,
1223,1223,OK402263,TWO RIVERS CASINO,101 WHITE EAGLE DR,,PONCA CITY,OK,74601,36.60630778,-97.08297937,"101 WHITE EAGLE DR  PONCA CITY, OK 74601",Original,1223.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,TWO RIVERS CASINO,"101 WHITE EAGLE DR PONCA CITY, OK 74601",36.60630778,-97.08297937,POINT (-97.08297937 36.60630778),No,1.743348696,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,KAY,KAY,,,,,,,
1224,1224,OK402416,SHIDLER COUNTRY STORE,106 S COSDEN,,SHIDLER,OK,74652,36.78187136,-96.66109092,"106 S COSDEN  SHIDLER, OK 74652",Original,1224.0,,,Correct,"100 Cosden Ave, Shidler, OK 74652, USA",36.7818191,-96.6610089,Active,SHIDLER COUNTRY STORE,"100 Cosden Ave, Shidler, OK 74652, USA",36.7818191,-96.6610089,POINT (-96.6610089 36.7818191),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,100 COSDEN AVE,SHIDLER,OK,74652,OSAGE,OSAGE,1900406334,"SHIDLER COUNTRY STORE, INC.",LOETTA SMITH,,SHIDLER,OK,
1225,1225,OK402445,TONKAWA SMOKE SHOP,10750 ALLEN DR,,TONKAWA,OK,74659,36.66768651,-97.26484022,"10750 ALLEN DR  TONKAWA, OK 74659",Original,1225.0,1.0,yes,Correct,Correct,Correct,Correct,Active,TONKAWA SMOKE SHOP,"10750 ALLEN DR TONKAWA, OK 74659",36.66768651,-97.26484022,POINT (-97.26484022 36.66768651),No,1.7773047519999998,,,Kaw/Ponca,Kaw/Ponca joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,KAY,KAY,,,,,,,
1226,1226,OK402469,J BAR S SALOON,109 S FIFTH ST,,BARNSDALL,OK,74002,36.56170834,-96.16170654,"109 S FIFTH ST  BARNSDALL, OK 74002",Original,1226.0,,,Correct,"109 5th St, Barnsdall, OK 74002, USA",36.5614606,-96.1616858,Active,J BAR S SALOON,"109 5th St, Barnsdall, OK 74002, USA",36.561460600000004,-96.1616858,POINT (-96.1616858 36.5614606),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,109 5TH ST,BARNSDALL,OK,74002,OSAGE,OSAGE,,,,,,,
1227,1227,OK402473,THE STORE #2,109 W OSAGE ST,,WYNONA,OK,74084,36.54624002,-96.32700188,"109 W OSAGE ST  WYNONA, OK 74084",Original,1227.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,THE STORE #2,"109 W OSAGE ST WYNONA, OK 74084",36.54624002,-96.32700188,POINT (-96.32700188 36.54624002),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,OSAGE,OSAGE,,,,,,,
1228,1228,OK402574,KEN'S STORE,11082 NEW PRUE RD,,PRUE,OK,74060,36.26748621,-96.25519106,"11082 NEW PRUE RD  PRUE, OK 74060",Original,1228.0,,,Correct,"23939 Prue Rd, Prue, OK 74060, USA",36.2679729,-96.2604553,Active,KEN'S STORE,"23939 Prue Rd, Prue, OK 74060, USA",36.2679729,-96.26045529999999,POINT (-96.26045529999999 36.2679729),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,23939  RD,PRUE,OK,74060,OSAGE,OSAGE,1900629744,"KEN\'S STORE, INC.",JACK Y GOREE,,TULSA,OK,
1229,1229,OK402889,NATIVE LIGHTS CASINO,12375 N HIGHWAY 77,,NEWKIRK,OK,74647,36.9756233,-97.04355308,"12375 N HIGHWAY 77  NEWKIRK, OK 74647",Original,1229.0,,,Correct,"Native Lights Casino, 12375 US-77, Newkirk, OK 74647, USA",36.9739984,-97.0451871,Active,NATIVE LIGHTS CASINO,"Native Lights Casino, 12375 US-77, Newkirk, OK 74647, USA",36.9739984,-97.04518709999999,POINT (-97.04518709999999 36.97399840000001),No,10.77145615,,,Kaw/Ponca,Kaw/Ponca joint-use OTSA,From Original List,,,,,,NATIVE LIGHTS CASINO 12375 US-77,NEWKIRK,OK,74647,KAY,KAY,,,,,,,
1230,1230,OK402911,OTOE TRAVEL PLAZA,12501 N HWY 177,,NEWKIRK,OK,74647,35.724548,-97.0176291,"12501 N HWY 177  NEWKIRK, OK 74647",Google,1230.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,OTOE TRAVEL PLAZA,"12501 N HWY 177 NEWKIRK, OK 74647",35.724548,-97.0176291,POINT (-97.01762909999999 35.724548),No,39.00458984,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,KAY,KAY,,,,,,,
1231,1231,OK403245,KAW SMOKE SHOP,1535 E HUBBARD RD,,PONCA CITY,OK,74604,36.75347281,-97.06407562,"1535 E HUBBARD RD  PONCA CITY, OK 74604",Original,1231.0,,,Correct,Correct,Correct,Correct,Active,KAW SMOKE SHOP,"1535 E HUBBARD RD PONCA CITY, OK 74604",36.75347281,-97.06407562,POINT (-97.06407562 36.75347281),Yes,0.0,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,From Original List,,,,,,No changes,No changes,No changes,No changes,KAY,KAY,,,,,,,
1232,1232,OK403258,VELERO/THUNDERBIRD EXPRESS/AST GROCER,15730 E HWY 9,,NORMAN,OK,73026,35.23128061,-97.20750857,"15730 E HWY 9  NORMAN, OK 73026",Original,1232.0,1.0,maybe,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,VELERO/THUNDERBIRD EXPRESS/AST GROCER,"15730 E HWY 9 NORMAN, OK 73026",35.23128061,-97.20750857,POINT (-97.20750857 35.23128061),No,46.85222588,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,CLEVELAND,CLEVELAND,,,,,,,
1233,1233,OK403308,RED DEVIL SUPERETTE,161 S MAIN ST,,FAIRFAX,OK,74637,36.56996415,-96.70439328,"161 S MAIN ST  FAIRFAX, OK 74637",Original,1233.0,,,Correct,Correct,Correct,Correct,Active,RED DEVIL SUPERETTE,"161 S MAIN ST FAIRFAX, OK 74637",36.56996415,-96.70439328,POINT (-96.70439328000001 36.56996415),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,OSAGE,OSAGE,1900418126,"RED DEVIL SUPERETTE, INC.",ROCK REESE,,FAIRFAX,OK,
1234,1234,OK403545,HARRAH SMOKESHOP,19857 NE 23RD ST,,HARRAH,OK,73045,35.49352086,-97.17967594,"19857 NE 23RD ST  HARRAH, OK 73045",Original,1234.0,1.0,yes,AST SMOKE SHOP / HARRAH SMOKE SHOP,Correct,Correct,Correct,Active,AST SMOKE SHOP / HARRAH SMOKE SHOP,"19857 NE 23RD ST HARRAH, OK 73045",35.49352086,-97.17967594,POINT (-97.17967594 35.49352086),No,45.12638285,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,OKLAHOMA,OKLAHOMA,,,,,,,
1235,1235,OK403673,OSAGE CASINO-PAWHUSKA,2017 E 15TH ST,,PAWHUSKA,OK,74036,36.6729385,-96.31457184,"2017 E 15TH ST  PAWHUSKA, OK 74036",Original,1235.0,,,Correct,"2017 E. 15th St &, OK-99, Pawhuska, OK 74056, USA",36.6735692,-96.3143599,Active,OSAGE CASINO-PAWHUSKA,"2017 E. 15th St &, OK-99, Pawhuska, OK 74056, USA",36.6735692,-96.3143599,POINT (-96.3143599 36.6735692),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,2017 E. 15TH ST & -99,PAWHUSKA,OK,74056,OSAGE,OSAGE,,,,,,,
1236,1236,OK403754,JIM'S PLACE,2072 CR 3575,,PAWHUSKA,OK,74056,36.91291152,-96.20121371,"2072 CR 3575  PAWHUSKA, OK 74056",Original,1236.0,,,Correct,Correct,Correct,Correct,Active,JIM'S PLACE,"2072 CR 3575 PAWHUSKA, OK 74056",36.91291152,-96.20121371,POINT (-96.20121371 36.91291152),Yes,0.0,Osage,Osage Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,OSAGE,OSAGE,1900348444,"JIM\'S PLACE, INC.",JAMES B. SMITH,,COLBERT,OK,
1237,1237,OK404105,KICKAPOO C STORE,25200 E HIGHWAY 62,,HARRAH,OK,73045,35.49263254,-97.11002207,"25200 E HIGHWAY 62  HARRAH, OK 73045",Original,1237.0,1.0,yes,Correct,"25200 US-62, Harrah, OK 73045, USA",35.4931324,-97.0845857,Active,KICKAPOO C STORE,"25200 US-62, Harrah, OK 73045, USA",35.49313239999999,-97.0845857,POINT (-97.08458570000001 35.49313239999999),No,38.94211706,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,25200 US-62,HARRAH,OK,73045,OKLAHOMA,LINCOLN,,,,,,,
1238,1238,OK404106,KICKAPOO CASINO,25230 E HIGHWAY 62,,HARRAH,OK,73045,35.49263254,-97.10989616,"25230 E HIGHWAY 62  HARRAH, OK 73045",Original,1238.0,1.0,yes,KICKAPOO CASINO HARRAH,"25230 US-62, Harrah, OK 73045, USA",35.4929867,-97.0833791,Active,KICKAPOO CASINO HARRAH,"25230 US-62, Harrah, OK 73045, USA",35.4929867,-97.0833791,POINT (-97.0833791 35.4929867),No,38.86273312,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,25230 US-62,HARRAH,OK,73045,OKLAHOMA,LINCOLN,,,,,,,
1239,1239,OK404259,TURTLE STOP,2M E JCT HWY 60 & 137,,WYANDOTTE,OK,74370,36.8051922,-94.7196624,"2M E JCT HWY 60 & 137  WYANDOTTE, OK 74370",Google,1239.0,1.0,yes,LUCKY TURTLE CASINO,"64499 US-60, Wyandotte, OK 74370, USA",36.804916,-94.7257353,Active,LUCKY TURTLE CASINO,"64499 US-60, Wyandotte, OK 74370, USA",36.804916,-94.7257353,POINT (-94.7257353 36.804916),No,11.06717482,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,64499 US-60,WYANDOTTE,OK,74370,OTTAWA,OTTAWA,,,,,,,
1240,1240,OK404333,OTTER STOP,301 S MAIN ST,,MIAMI,OK,74354,36.87047447,-94.87706888,"301 S MAIN ST  MIAMI, OK 74354",Original,1240.0,,,Correct,Correct,Correct,Correct,Active,OTTER STOP,"301 S MAIN ST MIAMI, OK 74354",36.87047447,-94.87706888,POINT (-94.87706888 36.87047447),No,0.635324104,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,OTTAWA,OTTAWA,,,,,,,
