Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip,URL
1508,1508,ALL STOP,Correct,ALL STOP,100 BIA HWY 1,Correct,100 BIA HWY 1,ROSEBUD,Correct,ROSEBUD,SD,Correct,SD,57570,Correct,57570.0,43.25136,Correct,43.25136,-100.8391,Correct,-100.8391,"100 BIA HWY 1  ROSEBUD, SD 57570",Correct,"100 BIA HWY 1 ROSEBUD, SD 57570",,Correct,TODD,,Original,1508.0,,,Active,POINT (-100.8391 43.25136),Yes,0.0,Rosebud,Rosebud Indian Reservation,,,From Original List,,,,,,,,,,,,,
1509,1509,K'S QWIK STOP,Correct,K'S QWIK STOP,100 SD HWY 50,100 -46,100 -46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08176354,43.0819052,43.0819052,-98.29342527,-98.2938966,-98.2938966,"100 SD HWY 50 BOX 1128 WAGNER, SD 57380","100 SD-46, Wagner, SD 57380, USA","100 SD-46, Wagner, SD 57380, USA",,Correct,CHARLES MIX,BOX 1128,Original,1509.0,,,Active,POINT (-98.2938966 43.0819052),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,UB148570,Wagner Star LLC,Not found,Not found,Not found,Not found,Not found,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=184186156148057032203092100198207142099102009098
1510,1510,FIRST AMERICAN MART,Correct,FIRST AMERICAN MART,1001 S VETERANS ST,Correct,1001 S VETERANS ST,FLANDREAU,Correct,FLANDREAU,SD,Correct,SD,57028,Correct,57028.0,44.04342826,Correct,44.04342826,-96.60781965,Correct,-96.60781965,"1001 S VETERANS ST  FLANDREAU, SD 57028",Correct,"1001 S VETERANS ST FLANDREAU, SD 57028",,Correct,MOODY,,Original,1510.0,,,Active,POINT (-96.60781965 44.04342826),Yes,0.0,Flandreau,Flandreau Reservation,,,From Original List,,,,,,,,,,,,,
1511,1511,LYNN'S DAKOTAMART,Correct,LYNN'S DAKOTAMART,101 MAIN ST,117  HIGHWAY 249,117  HIGHWAY 249,FORT THOMPSON,Correct,FORT THOMPSON,SD,Correct,SD,57339,Correct,57339.0,44.06547,44.0684281,44.0684281,-99.4394,-99.4371455,-99.4371455,"101 MAIN ST  FORT THOMPSON, SD 57339","117 SD Highway 249, Fort Thompson, SD 57339, USA","117 SD Highway 249, Fort Thompson, SD 57339, USA",,Correct,BUFFALO,,Original,1511.0,,,Active,POINT (-99.4371455 44.0684281),Yes,0.0,Crow Creek,Crow Creek Reservation,,,From Original List,,,,,,,,,,,,,
1512,1512,DAKOTA STOP,Correct,DAKOTA STOP,101 W PIPESTONE AVE,Correct,101 W PIPESTONE AVE,FLANDREAU,Correct,FLANDREAU,SD,Correct,SD,57028,Correct,57028.0,44.04830989,Correct,44.04830989,-96.59545196,Correct,-96.59545196,"101 W PIPESTONE AVE  FLANDREAU, SD 57028",Correct,"101 W PIPESTONE AVE FLANDREAU, SD 57028",,Correct,MOODY,,Original,1512.0,,,Active,POINT (-96.59545196000001 44.04830989),No,0.3352901887539701,,,Flandreau,Flandreau Reservation,From Original List,,,,,,,,,,,,,
1513,1513,TEAL'S MARKET,Correct,TEAL'S MARKET,112 W HICKORY ST,Correct,112 W HICKORY ST,SISSETON,Correct,SISSETON,SD,Correct,SD,57262,Correct,57262.0,45.66001828,Correct,45.66001828,-97.05227594,Correct,-97.05227594,"112 W HICKORY ST  SISSETON, SD 57262",Correct,"112 W HICKORY ST SISSETON, SD 57262",,Correct,ROBERTS,,Original,1513.0,,,Active,POINT (-97.05227594 45.66001828),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,
1514,1514,WEISSER OIL CO.,Correct,WEISSER OIL CO.,130 E HWY 50,Correct,130 E HWY 50,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08176354,Correct,43.08176354,-98.29302399,Correct,-98.29302399,"130 E HWY 50  WAGNER, SD 57380",Correct,"130 E HWY 50 WAGNER, SD 57380",,Correct,CHARLES MIX,,Original,1514.0,1.0,yes,Active,POINT (-98.29302398999999 43.08176354),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,
1515,1515,DAKOTA MAGIC #3 DAKOTA SIOUX CASINO,Can't Validate,DAKOTA MAGIC #3 DAKOTA SIOUX CASINO,16415 SIOUX CONIFER RD,Can't Validate,16415 SIOUX CONIFER RD,WATERTOWN,Can't Validate,WATERTOWN,SD,Can't Validate,SD,57201,Can't Validate,57201.0,44.99378046,Can't Validate,44.99378046,-97.14706221,Can't Validate,-97.14706221,"16415 SIOUX CONIFER RD  WATERTOWN, SD 57201",Can't Validate,"16415 SIOUX CONIFER RD WATERTOWN, SD 57201",,Can't Validate,CODINGTON,,Original,1515.0,,,Can't Validate,POINT (-97.14706221 44.99378046),No,0.3515787116893717,,,Lake Traverse,Lake Traverse Reservation,From Original List,,,,,,,,,,,,,
1516,1516,CROSSROADS C-STORE,Correct,CROSSROADS C-STORE,19 E DAKOTA ST,Correct,19 E DAKOTA ST,ROSHOLT,Correct,ROSHOLT,SD,Correct,SD,57260,Correct,57260.0,45.86348118,Correct,45.86348118,-96.72985557,Correct,-96.72985557,"19 E DAKOTA ST  ROSHOLT, SD 57260",Correct,"19 E DAKOTA ST ROSHOLT, SD 57260",,Correct,ROBERTS,,Original,1516.0,,,Active,POINT (-96.72985557 45.86348118),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,
1517,1517,FAMILY DOLLAR 7229,Correct,FAMILY DOLLAR 7229,2020 S RUTH ST,Correct,2020 S RUTH ST,MISSION,Correct,MISSION,SD,Correct,SD,57555,Correct,57555.0,43.30493,Correct,43.30493,-100.6475,Correct,-100.6475,"2020 S RUTH ST  MISSION, SD 57555",Correct,"2020 S RUTH ST MISSION, SD 57555",,Correct,TODD,,Original,1517.0,,,Active,POINT (-100.6475 43.30493),Yes,0.0,Rosebud,Rosebud Indian Reservation,,,From Original List,,,,,,,,,,,,,
1518,1518,SHELBY'S,Correct,SHELBY'S,207 SD HWY 246,302 SD HIGHWAY 249,302 SD HIGHWAY 249,FORT THOMPSON,Correct,FORT THOMPSON,SD,Correct,SD,57339,Correct,57339.0,44.04577000000001,44.0711067,44.0711067,-99.40411,-99.4334149,-99.4334149,"207 SD HWY 246  FORT THOMPSON, SD 57339","302 Sd Highway 249, Fort Thompson, SD 57339, USA","302 Sd Highway 249, Fort Thompson, SD 57339, USA",,Correct,BUFFALO,,Original,1518.0,,,Active,POINT (-99.4334149 44.0711067),Yes,0.0,Crow Creek,Crow Creek Reservation,,,From Original List,,,,,,,,,,,,,
