IMPAQ_ID,doc_types,doc_date
1659,"['ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'AMENDMENT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ARTICLES OF INCORPORATION']",2019
1665,"['ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'COMMERCIAL STATEMENT OF CHANGE', 'ANNUAL REPORT', 'DELINQUENT ANNUAL REPORT NOTICE', 'STATEMENT OF CHANGE', 'ANNUAL REPORT DUE DATE NOTICE', 'STATEMENT OF CHANGE', 'ANNUAL REPORT', 'STATEMENT OF CHANGE', 'ANNUAL REPORT', 'ANNUAL REPORT', 'STATEMENT OF CHANGE', 'ANNUAL REPORT', 'ANNUAL REPORT', 'INITIAL REPORT', 'ARTICLES OF INCORPORATION']",2019
1669,"['ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'AMENDED ANNUAL REPORT', 'STATEMENT OF CHANGE', 'ANNUAL REPORT', 'REINSTATEMENT', 'DISSOLUTION_WITHDRAWAL', 'ANNUAL REPORT', 'REQUEST FOR INFORMATION', 'ANNUAL REPORT', 'ANNUAL REPORT', 'MISCELLANEOUS', 'REINSTATEMENT', 'DISSOLUTION_WITHDRAWAL', 'ANNUAL REPORT', 'INITIAL REPORT', 'CERTIFICATE OF FORMATION']",2018
1672,"['STATEMENT OF CHANGE', 'DISSOLUTION_WITHDRAWAL', 'INITIAL REPORT', 'CERTIFICATE OF FORMATION']",2009
1673,"['ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'AMENDED ANNUAL REPORT', 'STATEMENT OF CHANGE', 'ANNUAL REPORT', 'REINSTATEMENT', 'DISSOLUTION_WITHDRAWAL', 'ANNUAL REPORT', 'REQUEST FOR INFORMATION', 'ANNUAL REPORT', 'ANNUAL REPORT', 'MISCELLANEOUS', 'REINSTATEMENT', 'DISSOLUTION_WITHDRAWAL', 'ANNUAL REPORT', 'INITIAL REPORT', 'CERTIFICATE OF FORMATION']",2018
1674,"['ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'ANNUAL REPORT DUE DATE NOTICE', 'FOREIGN REGISTRATION STATEMENT', 'STATEMENT OF CORRECTION', 'DISSOLUTION_WITHDRAWAL', 'ANNUAL REPORT', 'ANNUAL REPORT', 'FOREIGN REGISTRATION STATEMENT']",2019
1679,"['ANNUAL REPORT', 'DELINQUENT ANNUAL REPORT NOTICE', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'DELINQUENT ANNUAL REPORT NOTICE', 'ANNUAL REPORT DUE DATE NOTICE', 'AMENDED ANNUAL REPORT', 'ANNUAL REPORT', 'ANNUAL REPORT', 'INITIAL REPORT', 'CERTIFICATE OF FORMATION']",2019
1683,"['CERTIFICATE OF WITHDRAWAL', 'CERTIFICATE OF FORMATION']",2017
1702,"['ARTICLES OF DISSOLUTION', 'ANNUAL REPORT', 'INITIAL REPORT', 'ARTICLES OF INCORPORATION']",2008
1703,"['ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'DELINQUENT ANNUAL REPORT NOTICE', 'ANNUAL REPORT DUE DATE NOTICE', 'ANNUAL REPORT', 'INITIAL REPORT', 'ARTICLES OF INCORPORATION']",2019
