,Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,match_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
0,1655,1655,WA105064,INDUSTRIAL WAY FOOD MART,1161 INDUSTRIAL WAY,,LONGVIEW,WA,98632,46.11528819,-122.9431049,"1161 INDUSTRIAL WAY  LONGVIEW, WA 98632",Original,1655.0,,,Correct,Correct,Correct,Correct,Active,INDUSTRIAL WAY FOOD MART,"1161 INDUSTRIAL WAY LONGVIEW, WA 98632",46.11528819,-122.94310490000001,POINT (-122.9431049 46.11528819),No,22.68706177,,,Cowlitz,Cowlitz Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,COWLITZ,COWLITZ,,,,,,,,
1,1656,1656,WA106641,EMERALD DOWNS,2300 EMERALD DOWNS DRIVE,,AUBURN,WA,98001,47.32830259,-122.2374696,"2300 EMERALD DOWNS DRIVE  AUBURN, WA 98001",Original,1656.0,,,Correct,"2300 Ron Crockett Dr, Auburn, WA 98001, USA",47.3282377,-122.2373605,Active,EMERALD DOWNS,"2300 Ron Crockett Dr, Auburn, WA 98001, USA",47.3282377,-122.2373605,POINT (-122.2373605 47.3282377),No,2.610537662,,,Muckleshoot,Muckleshoot Reservation,From Original List,,,,,,2300 RON CROCKETT DR,AUBURN,WA,98001,KING,KING,,601415519,NORTHWEST RACING ASSOCIATES LIMITED PARTNERSHIP,*  RACING INC,  ,,,
2,1657,1657,WA108177,TURTTLES SMOKE SHOP,3114 RIVER RD E,,TACOMA,WA,98443,47.23290460000001,-122.387862,"3114 RIVER RD E  TACOMA, WA 98443",Original,1657.0,1.0,yes,TURTLES SMOKE SHOP,Correct,Correct,Correct,Active,TURTLES SMOKE SHOP,"3114 RIVER RD E TACOMA, WA 98443",47.232904600000005,-122.38786200000001,POINT (-122.387862 47.23290460000001),Yes,0.0,Puyallup,Puyallup Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,PIERCE,PIERCE,,,,,,,,
3,1658,1658,WA108254,CHICKIE'S SMOKE SMOKE DBA RIVERSIDE SMOKE SHOP,7324 RIVER RD E,,PUYALLUP,WA,98371,47.20891968,-122.3314026,"7324 RIVER RD E  PUYALLUP, WA 98371",Original,1658.0,,,Correct,Correct,Correct,Correct,Active,CHICKIE'S SMOKE SMOKE DBA RIVERSIDE SMOKE SHOP,"7324 RIVER RD E PUYALLUP, WA 98371",47.20891968,-122.33140259999999,POINT (-122.3314026 47.20891968),Yes,0.0,Puyallup,Puyallup Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,PIERCE,PIERCE,,,,,,,,
4,1659,1659,WA108519,FIFE 76/TAHOMA,2002 54TH AVE E,,FIFE,WA,98424,47.23870316,-122.3575921,"2002 54TH AVE E  FIFE, WA 98424",Original,1659.0,1.0,yes,Correct,Correct,Correct,Correct,Active,FIFE 76/TAHOMA,"2002 54TH AVE E FIFE, WA 98424",47.23870316,-122.35759209999999,POINT (-122.3575921 47.23870316),Yes,0.0,Puyallup,Puyallup Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,PIERCE,PIERCE,,,,,,,,
5,1660,1660,WA108898,BOW HILL GAS & FOOD MART,18520 BOW HILL RD,,BOW,WA,98232,48.55642777,-122.3439568,"18520 BOW HILL RD  BOW, WA 98232",Original,1660.0,1.0,no,Correct,Correct,Correct,Correct,Active,BOW HILL GAS & FOOD MART,"18520 BOW HILL RD BOW, WA 98232",48.55642777,-122.3439568,POINT (-122.3439568 48.55642777),No,0.0047827040000000005,,,Upper Skagit,Upper Skagit Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,SKAGIT,SKAGIT,,,,,,,,
6,1661,1661,WA109311,MOUNTAIN LOOP COUNTRY STORE,1000 EMENS AVE N,,DARRINGTON,WA,98241,48.2554855,-121.6013611,"1000 EMENS AVE N  DARRINGTON, WA 98241",Original,1661.0,,,Correct,Correct,Correct,Correct,Active,MOUNTAIN LOOP COUNTRY STORE,"1000 EMENS AVE N DARRINGTON, WA 98241",48.2554855,-121.6013611,POINT (-121.6013611 48.2554855),No,4.235144588,,,Sauk-Suiattle,Sauk-Suiattle Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,SNOHOMISH,SNOHOMISH,,,,,,,,
7,1662,1662,WA271432,WHITE RIVER AMPHITHEATER,40601 AUBURN ENUMCLAW RD SE,,AUBURN,WA,98092,47.23681455,-122.1080303,"40601 AUBURN ENUMCLAW RD SE  AUBURN, WA 98092",Original,1662.0,0.0,,WHITE RIVER AMPHITHEATRE,Correct,Correct,Correct,Active,WHITE RIVER AMPHITHEATRE,"40601 AUBURN ENUMCLAW RD SE AUBURN, WA 98092",47.23681455,-122.10803030000001,POINT (-122.1080303 47.23681455),Yes,0.0,Muckleshoot,Muckleshoot Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,KING,KING,,,,,,,,
8,1663,1663,WA271432,WHITE RIVER AMPHITHEATER,40601 AUBURN ENUMCLAW RD SE,,AUBURN,WA,98092,47.23681455,-122.1080303,"40601 AUBURN ENUMCLAW RD SE  AUBURN, WA 98092",Original,1663.0,0.0,,Correct,Correct,Correct,Correct,Active,WHITE RIVER AMPHITHEATER,"40601 AUBURN ENUMCLAW RD SE AUBURN, WA 98092",47.23681455,-122.10803030000001,POINT (-122.1080303 47.23681455),Yes,0.0,Muckleshoot,Muckleshoot Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,KING,KING,,,,,,,,
9,1664,1664,WA271535,LATINO MARKET AND TACO SHOP,502 W 1ST AVE,,TOPPENISH,WA,98948,46.37497819,-120.3157976,"502 W 1ST AVE  TOPPENISH, WA 98948",Original,1664.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,LATINO MARKET AND TACO SHOP,"502 W 1ST AVE TOPPENISH, WA 98948",46.37497819,-120.3157976,POINT (-120.3157976 46.37497819),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAKIMA,YAKIMA,,,,,,,,
10,1665,1665,WA271545,LITTLE BROWN SMOKE SHACK,3201 GOODMAN RD,,YAKIMA,WA,98903,46.54548966,-120.5002574,"3201 GOODMAN RD  YAKIMA, WA 98903",Original,1665.0,1.0,yes,LIL BROWN SMOKE SHACK,Correct,Correct,Correct,Active,LIL BROWN SMOKE SHACK,"3201 GOODMAN RD YAKIMA, WA 98903",46.54548966,-120.5002574,POINT (-120.5002574 46.54548966),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAKIMA,YAKIMA,,,,,,,,
11,1666,1666,WA464384,MARKET PLACE,109 W 1ST ST,,WAPATO,WA,98951,46.44768838,-120.4202718,"109 W 1ST ST  WAPATO, WA 98951",Original,1666.0,1.0,yes,Correct,Correct,Correct,Correct,Active,MARKET PLACE,"109 W 1ST ST WAPATO, WA 98951",46.44768838,-120.4202718,POINT (-120.4202718 46.44768838),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAKIMA,YAKIMA,,,,,,,,
12,1667,1667,WA622939,RIVER ROCK SMOKE SHOP,21125 SMOKEY POINT BLVD,,ARLINGTON,WA,98223,48.18620387,-122.1935992,"21125 SMOKEY POINT BLVD  ARLINGTON, WA 98223",Original,1667.0,,,Correct,Correct,Correct,Correct,Active,RIVER ROCK SMOKE SHOP,"21125 SMOKEY POINT BLVD ARLINGTON, WA 98223",48.18620387,-122.19359920000001,POINT (-122.1935992 48.18620387),No,9.41e-05,,,Stillaguamish,Stillaguamish Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,SNOHOMISH,SNOHOMISH,,,,,,,,
13,1668,1668,WA622940,RIVER ROCK SMOKE SHOP,3438 STOLUCKQUAMISH LANE,,ARLINGTON,WA,98223,48.21517103,-122.1841024,"3438 STOLUCKQUAMISH LANE  ARLINGTON, WA 98223",Original,1668.0,,,Correct,"21125 Smokey Point Blvd, Arlington, WA 98223, USA",48.1875247,-122.1939882,Active,RIVER ROCK SMOKE SHOP,"21125 Smokey Point Blvd, Arlington, WA 98223, USA",48.187524700000004,-122.19398819999999,POINT (-122.1939882 48.1875247),Yes,0.0,Stillaguamish,Stillaguamish Off-Reservation Trust Land,,,From Original List,,,,,,21125 SMOKEY POINT BLVD,ARLINGTON,WA,98223,SNOHOMISH,SNOHOMISH,,,,,,,,
14,1669,1669,WA623175,NISQUALLY EXPRESS,10324 MARTIN WAY E,,OLYMPIA,WA,98516,47.06627619,-122.7200818,"10324 MARTIN WAY E  OLYMPIA, WA 98516",Original,1669.0,,,Correct,Correct,Correct,Correct,Active,NISQUALLY EXPRESS,"10324 MARTIN WAY E OLYMPIA, WA 98516",47.06627619,-122.7200818,POINT (-122.7200818 47.06627619),No,2.26372245,,,Nisqually,Nisqually Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,THURSTON,THURSTON,,,,,,,,
15,1670,1670,WA623176,NISQUALLY MARKET,11741 PACIFIC HWY SW,,LAKEWOOD,WA,98499,47.15008605,-122.5021838,"11741 PACIFIC HWY SW  LAKEWOOD, WA 98499",Original,1670.0,,,NISQUALLY MARKETS,Correct,Correct,Correct,Active,NISQUALLY MARKETS,"11741 PACIFIC HWY SW LAKEWOOD, WA 98499",47.15008605,-122.5021838,POINT (-122.5021838 47.15008605),No,7.251259579,,,Puyallup,Puyallup Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,PIERCE,PIERCE,,,,,,,,
16,1671,1671,WA623235,TWO BEARS TRADING LLC,4715 GAY RD E,,TACOMA,WA,98443,47.22428703,-122.367008,"4715 GAY RD E  TACOMA, WA 98443",Original,1671.0,,,Correct,Correct,Correct,Correct,Active,TWO BEARS TRADING LLC,"4715 GAY RD E TACOMA, WA 98443",47.22428703,-122.36700800000001,POINT (-122.367008 47.22428703),Yes,0.0,Puyallup,Puyallup Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,PIERCE,PIERCE,,,,,,,,
17,1672,1672,WA625126,STEAMBOAT TRADING POST,6610 SEXTON RD NW,,OLYMPIA,WA,98502,47.07952324,-123.0207971,"6610 SEXTON RD NW  OLYMPIA, WA 98502",Original,1672.0,,,Correct,"6610 Sexton Dr NW, Olympia, WA 98502, USA",47.0795565,-123.0208814,Active,STEAMBOAT TRADING POST,"6610 Sexton Dr NW, Olympia, WA 98502, USA",47.0795565,-123.02088140000001,POINT (-123.0208814 47.0795565),No,4.016052366,,,Squaxin Island,Squaxin Island Off-Reservation Trust Land,From Original List,,,,,,6610 SEXTON DR NW,OLYMPIA,WA,98502,THURSTON,THURSTON,,602725565,"STEAMBOAT ISLAND, LLC",EDWARD  DICKEY,4923 69TH AVE NW  ,OLYMPIA,WA,98502
18,1673,1673,WA643345,NISQUALLY MARKETS REZ,12827 YELM HWY SE,,OLYMPIA,WA,98513,47.000894,-122.6677,"12827 YELM HWY SE  OLYMPIA, WA 98513",Original,1673.0,,,Correct,Correct,Correct,Correct,Active,NISQUALLY MARKETS REZ,"12827 YELM HWY SE OLYMPIA, WA 98513",47.000894,-122.6677,POINT (-122.6677 47.000894),Yes,0.0,Nisqually,Nisqually Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,THURSTON,THURSTON,,,,,,,,
19,1674,1674,WA643397,SI DISTRIBUTION LLC,1045 W STATE ROUTE 108,,SHELTON,WA,98584,47.122483,-123.1152,"1045 W STATE ROUTE 108  SHELTON, WA 98584",Original,1674.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,SI DISTRIBUTION LLC,"1045 W STATE ROUTE 108 SHELTON, WA 98584",47.122483,-123.1152,POINT (-123.1152 47.122483),No,0.011937006000000002,,,Squaxin Island,Squaxin Island Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,MASON,MASON,,,,,,,,
20,1675,1675,WA643435,CARNICERIA LOS AMIGOS,205 S WAPATO AVE,,WAPATO,WA,98951,46.446711,-120.4193,"205 S WAPATO AVE  WAPATO, WA 98951",Original,1675.0,,,Correct,Correct,Correct,Correct,Active,CARNICERIA LOS AMIGOS,"205 S WAPATO AVE WAPATO, WA 98951",46.446711,-120.4193,POINT (-120.4193 46.446711),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAKIMA,YAKIMA,,,,,,,,
21,1676,1676,WA647652,CROSS ROAD MARKET,4641 N TRACK RD,,WAPATO,WA,98951,46.449326,-120.4176,"4641 N TRACK RD  WAPATO, WA 98951",Original,1676.0,1.0,maybe,CROSSROAD MARKET,"4621 N Track Rd, Wapato, WA 98951, USA",46.4488991,-120.4171649,Active,CROSSROAD MARKET,"4621 N Track Rd, Wapato, WA 98951, USA",46.448899100000006,-120.4171649,POINT (-120.4171649 46.44889910000001),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,4621 N TRACK RD,WAPATO,WA,98951,YAKIMA,YAKIMA,,603042128,CR MARKET INC,HYON TOK KANG,  ,LAKEWOOD,WA,     
22,1677,1677,WA712289,COULEE TOBACCO AND MORE,500 RIVER DR,,COULEE DAM,WA,99116,47.9678662,-118.9798,"500 RIVER DR  COULEE DAM, WA 99116",Original,1677.0,1.0,yes,GALAXY NATIVE SMOKES,Correct,Correct,Correct,Active,GALAXY NATIVE SMOKES,"500 RIVER DR COULEE DAM, WA 99116",47.9678662,-118.9798,POINT (-118.9798 47.9678662),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,OKANOGAN,OKANOGAN,,,,,,,,
23,1678,1678,WA718783,PAPPY'S LORNER,6394 W END RD,,FRUITLAND,WA,99129,47.96484,-118.2331,"6394 W END RD  FRUITLAND, WA 99129",Original,1678.0,1.0,yes,Correct,Correct,Correct,Correct,Active,PAPPY'S LORNER,"6394 W END RD FRUITLAND, WA 99129",47.96484,-118.2331,POINT (-118.2331 47.96484),Yes,0.0,Spokane,Spokane Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,STEVENS,STEVENS,,,,,,,,
24,1679,1679,WA728641,TIENDA DE ABARROTES LOS AMIGOS,209 S WAPATO AVE,,WAPATO,WA,98951,46.44674000000001,-120.4198,"209 S WAPATO AVE  WAPATO, WA 98951",Original,1679.0,,,Correct,Correct,Correct,Correct,Active,TIENDA DE ABARROTES LOS AMIGOS,"209 S WAPATO AVE WAPATO, WA 98951",46.446740000000005,-120.4198,POINT (-120.4198 46.44674000000001),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAKIMA,YAKIMA,,,,,,,,
25,1680,1680,WA745768,MILL BAY CASINO,455 WAPATO LAKE RD.,,MANSON,WA,98831,47.882035,-120.129603,"455 WAPATO LAKE RD.  MANSON, WA 98831",Original,1680.0,,,Correct,Correct,Correct,Correct,Active,MILL BAY CASINO,"455 WAPATO LAKE RD. MANSON, WA 98831",47.882034999999995,-120.129603,POINT (-120.129603 47.88203499999999),Yes,0.0,Colville,Colville Off-Reservation Trust Land,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CHELAN,,,,,,,,
