id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lon,lat
0,"6551  FRY ST, BELL GARDENS, CA, 90201",True,Exact,"6551 FRY ST, BELL GARDENS, CA, 90201",141695622,L,06,037,534001,3000,-118.14795,33.96509
1,"1400  PALM CANYON DR., PALM SPRINGS, CA, nan",False,,,,,,,,,,
2,"1109  PALM CANYON DR, PALM SPRINGS, CA, 92264",False,,,,,,,,,,
3,"3737  COLUMBUS ST, BAKERSFIELD, CA, 93306",True,Exact,"3737 COLUMBUS ST, BAKERSFIELD, CA, 93306",109095634,R,06,029,000903,1019,-118.95161,35.39989
4,"10975  VANALDEN AVE, NORTHRIDGE, CA, 91326",True,Exact,"10975 VANALDEN AVE, NORTHRIDGE, CA, 91326",141539419,L,06,037,111204,2000,-118.54736,34.270042
5,"300  LASTUNAS DR, SAN GABRIEL, CA, 91776",False,,,,,,,,,,
6,"615  SUTTER STREET, SAN FRANCISCIO, CA, 94102",True,Non_Exact,"615 SUTTER ST, SAN FRANCISCO, CA, 94102",638035733,L,06,075,012100,2002,-122.41063,37.788963
7,"42405  WASHINGTON, PALM DESERT, CA, 92260",False,,,,,,,,,,
8,"8250  MCNELLY RD, BENTONVILLE, AR, 72712",True,Exact,"8250 MCNELLY RD, BENTONVILLE, AR, 72712",635478671,L,05,007,020704,1021,-94.21328,36.42729
9,"251  JEANELL   # 3, CARSON CITY, NV, 89701",False,,,,,,,,,,
600,"2333  SAN RAMON VALLEY BLVD. STE. 450, SAN RAMON, CA, 94583",False,,,,,,,,,,
601,"22307  BINGHAM CT, VALENCIA, CA, 91354",False,,,,,,,,,,
602,"4319B  ELKHORN BLVD., SACRAMENTO, CA, 95842",True,Exact,"4319 ELKHORN BLVD, SACRAMENTO, CA, 95842",133427782,L,06,067,007429,3006,-121.36264,38.694492
603,"910  PACIFIC COAST HWY, WILMINGTON, CA, 90744",True,Exact,"910 PACIFIC COAST HWY, WILMINGTON, CA, 90744",141691535,R,06,037,294620,3000,-118.251915,33.79104
604,"4300  GREEN RIVER RD  # 108, CORONA, CA, 92880",False,,,,,,,,,,
605,"83957  INDIO BLVD, INDIO, CA, 92201",False,,,,,,,,,,
606,"1963 HWY 111, EL CENTRO, CA, 92243",True,Non_Exact,"1963 STATE RTE 111, EL CENTRO, CA, 92243",640431128,L,06,025,011300,2000,-115.50085,32.796852
607,"1008 AVE M14  STE A D180, PALMDALE, CA, 93551",False,,,,,,,,,,
608,"4500  BEEMAN AVE, STUDIO CITY, CA, 91604",True,Exact,"4500 BEEMAN AVE, STUDIO CITY, CA, 91604",141563883,R,06,037,143400,2011,-118.4073,34.15253
609,"16309  SAN, JACINTO FOUNTAIN VALLEY, CA, 92708",False,,,,,,,,,,
610,"1611  BEVERLY GLEN BLVD, LOS ANGELES, CA, 90024",True,Non_Exact,"1611 S BEVERLY GLEN BLVD, LOS ANGELES, CA, 90024",141571318,R,06,037,265700,2009,-118.424995,34.059475
611,"7906  TARMA ST, LONG BEACH, CA, 90808",True,Non_Exact,"7906 E TARMA ST, LONG BEACH, CA, 90808",141746476,R,06,037,555202,2011,-118.07774,33.81812
612,"8363  RESEDA BLVD STE 205, NORTHRIDGE, CA, 91324",True,Exact,"8363 RESEDA BLVD, NORTHRIDGE, CA, 91324",141541564,L,06,037,115404,2009,-118.53609,34.222057
613,"10524  VARIEL AVENUE, CHATSWORTH, CA, 91311",True,Exact,"10524 VARIEL AVE, CHATSWORTH, CA, 91311",141532027,R,06,037,113101,2002,-118.59294,34.26153
614,"8363  RESEDA BLVD STE 205, NORTHRIDGE, CA, 91324",True,Exact,"8363 RESEDA BLVD, NORTHRIDGE, CA, 91324",141541564,L,06,037,115404,2009,-118.53609,34.222057
615,"6328  CALIFORNIA AVE, LONG BEACH, CA, 90805",True,Exact,"6328 CALIFORNIA AVE, LONG BEACH, CA, 90805",141683970,R,06,037,570501,2010,-118.181076,33.86973
616,"1347  STANLEY AVE APT 2, LOS ANGELES, CA, 90046",True,Non_Exact,"1347 N STANLEY AVE, LOS ANGELES, CA, 90046",642861889,L,06,037,189800,1007,-118.35604,34.095264
617,"1891  DARTMOUTH AVE, CLOVIS, CA, 93619",True,Non_Exact,"1891 N DARTMOUTH AVE, CLOVIS, CA, 93619",645797846,L,06,019,005522,3010,-119.70692,36.864628
