,Unnamed: 0,IMPAQ_ID,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,entity,agent_name,agent_address,agent_city,agent_state,agent_zip,SoS_record
0,0,0,DISCOUNT TOBACCO OUTLET #110,3326 ATLANTA HWY,,MONTGOMERY,AL,36109,32.38409418,-86.26177941,"3326 ATLANTA HWY  MONTGOMERY, AL 36109",Original,0.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,DISCOUNT TOBACCO OUTLET #110,"3326 ATLANTA HWY MONTGOMERY, AL 36109",32.38409418,-86.26177941,POINT (-86.26177941 32.38409418),No,8.341532955843713,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,MONTGOMERY,MONTGOMERY,,,,,,,
1,1,1,FAST LANE,3493 JACK SPRINGS RD,,ATMORE,AL,36502,31.07536691,-87.52319321,"3493 JACK SPRINGS RD  ATMORE, AL 36502",Original,1.0,1.0,yes,FAST LANE OUTDOORS,Correct,Correct,Correct,Active,FAST LANE OUTDOORS,"3493 JACK SPRINGS RD ATMORE, AL 36502",31.07536691,-87.52319321,POINT (-87.52319321 31.07536691),No,2.1685175690717924,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,ESCAMBIA,ESCAMBIA,,,,,,,
2,2,2,TOBACCO N BEVERAGE OUTLET 3 Package Store,4220 MOBILE HWY,,MONTGOMERY,AL,36108,32.33069244,-86.34399543,"4220 MOBILE HWY  MONTGOMERY, AL 36108",Original,2.0,,,Correct,Correct,Correct,Correct,Active,TOBACCO N BEVERAGE OUTLET 3 Package Store,"4220 MOBILE HWY MONTGOMERY, AL 36108",32.33069244,-86.34399543,POINT (-86.34399543000001 32.33069244),No,14.647185686042867,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,MONTGOMERY,MONTGOMERY,,,,,,,
3,3,3,DIAMOND FOOD MART / SHELL,1204 E NASHVILLE AVE,,ATMORE,AL,36502,31.02420487,-87.48084617,"1204 E NASHVILLE AVE  ATMORE, AL 36502",Original,3.0,,,Correct,Correct,Correct,Correct,Active,DIAMOND FOOD MART / SHELL,"1204 E NASHVILLE AVE ATMORE, AL 36502",31.02420487,-87.48084617,POINT (-87.48084617000001 31.02420487),No,3.0685251476529376,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,ESCAMBIA,ESCAMBIA,,,,,,,
4,4,4,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,116 POARCH ROAD,,ATMORE,AL,36502,31.1018916,-87.48272393,"116 POARCH ROAD  ATMORE, AL 36502",Original,4.0,,,Correct,Correct,Correct,Correct,Active,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,"116 POARCH ROAD ATMORE, AL 36502",31.1018916,-87.48272393,POINT (-87.48272393000001 31.1018916),No,0.03323247747051316,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,ESCAMBIA,ESCAMBIA,,,,,,,
5,5,5,THE CIGAR SHOPPE,5349 YOUNG BARN RD,,MONTGOMERY,AL,36106,32.3493084,-86.22338736,"5349 YOUNG BARN RD  MONTGOMERY, AL 36106",Original,5.0,,,Correct,Correct,Correct,Correct,Active,THE CIGAR SHOPPE,"5349 YOUNG BARN RD MONTGOMERY, AL 36106",32.3493084,-86.22338736,POINT (-86.22338736 32.3493084),No,7.373339676528039,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,MONTGOMERY,MONTGOMERY,,,,,,,
6,6,6,WIND CREEK CASINO & HOTEL,303 POARCH ROAD,,ATMORE,AL,36502,31.103343,-87.48397,"303 POARCH ROAD  ATMORE, AL 36502",Original,6.0,1.0,yes,Correct,Correct,Correct,Correct,Active,WIND CREEK CASINO & HOTEL,"303 POARCH ROAD ATMORE, AL 36502",31.103343,-87.48397,POINT (-87.48397 31.103343),No,0.029634547977608183,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,ESCAMBIA,ESCAMBIA,,,,,,,
7,7,7,CHEVRON/Diamond Food Mart,303 HOWARD ST.,,ATMORE,AL,36502,31.029988,-87.496241,"303 HOWARD ST.  ATMORE, AL 36502",Original,7.0,1.0,yes,Correct,Correct,Correct,Correct,Active,CHEVRON/Diamond Food Mart,"303 HOWARD ST. ATMORE, AL 36502",31.029988,-87.496241,POINT (-87.496241 31.029988),No,2.764394629308394,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,ESCAMBIA,,,,,,,
8,8,8,CREEK CASINO MONTGOMERY,1801 EDDIE TULLIS DR.,,MONTGOMERY,AL,36117,32.423746,-86.140129,"1801 EDDIE TULLIS DR.  MONTGOMERY, AL 36117",Original,8.0,,,WIND CREEK MONTGOMERY,"1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",32.4245456,-86.1389085,Active,WIND CREEK MONTGOMERY,"1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",32.4245456,-86.1389085,POINT (-86.1389085 32.4245456),No,0.042772101764366084,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,1801 EDDIE L TULLIS RD,MONTGOMERY,AL,36117,,MONTGOMERY,,,,,,,
9,9,9,CCS Wetumpka/RIVERSIDE SMOKE SHOP,102 RIVER OAKS DR.,,WETUMPKA,AL,36092,32.525197,-86.209731,"102 RIVER OAKS DR.  WETUMPKA, AL 36092",Original,9.0,1.0,yes,Correct,"89 River Oaks Dr, Wetumpka, AL 36092, USA",32.525877,-86.20896839999997,Active,CCS Wetumpka/RIVERSIDE SMOKE SHOP,"89 River Oaks Dr, Wetumpka, AL 36092, USA",32.525877,-86.20896839999996,POINT (-86.20896839999996 32.525877),No,0.00903700513424495,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,89 RIVER OAKS DR,WETUMPKA,AL,36092,,ELMORE,,,,,,,
