id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,Longitude,Latitude,matchsource
0.0,"6551  FRY ST, BELL GARDENS, CA, 90201",True,Exact,"6551 FRY ST, BELL GARDENS, CA, 90201",141695622.0,L,6.0,37.0,534001.0,3000.0,-118.14795,33.965090000000004,Census
1.0,"1400  PALM CANYON DR., PALM SPRINGS, CA, nan",True,ROOFTOP,,,,,,,,-116.5453377,33.8045722,Google
2.0,"1109  PALM CANYON DR, PALM SPRINGS, CA, 92264",True,ROOFTOP,,,,,,,,-116.5459175,33.80746500000001,Google
3.0,"3737  COLUMBUS ST, BAKERSFIELD, CA, 93306",True,Exact,"3737 COLUMBUS ST, BAKERSFIELD, CA, 93306",109095634.0,R,6.0,29.0,903.0,1019.0,-118.95161,35.39989,Census
4.0,"10975  VANALDEN AVE, NORTHRIDGE, CA, 91326",True,Exact,"10975 VANALDEN AVE, NORTHRIDGE, CA, 91326",141539419.0,L,6.0,37.0,111204.0,2000.0,-118.54736000000001,34.270042,Census
5.0,"300  LASTUNAS DR, SAN GABRIEL, CA, 91776",True,ROOFTOP,,,,,,,,-118.0969531,34.1029974,Google
6.0,"615  SUTTER STREET, SAN FRANCISCIO, CA, 94102",True,Non_Exact,"615 SUTTER ST, SAN FRANCISCO, CA, 94102",638035733.0,L,6.0,75.0,12100.0,2002.0,-122.41063,37.788963,Census
7.0,"42405  WASHINGTON, PALM DESERT, CA, 92260",True,RANGE_INTERPOLATED,,,,,,,,-116.3039213,33.7407984,Google
8.0,"8250  MCNELLY RD, BENTONVILLE, AR, 72712",True,Exact,"8250 MCNELLY RD, BENTONVILLE, AR, 72712",635478671.0,L,5.0,7.0,20704.0,1021.0,-94.21328000000001,36.42729,Census
9.0,"251  JEANELL   # 3, CARSON CITY, NV, 89701",True,ROOFTOP,,,,,,,,-119.76858030000001,39.17963889999999,Google
600.0,"2333  SAN RAMON VALLEY BLVD. STE. 450, SAN RAMON, CA, 94583",True,ROOFTOP,,,,,,,,-121.9793565,37.7770313,Google
601.0,"22307  BINGHAM CT, VALENCIA, CA, 91354",True,RANGE_INTERPOLATED,,,,,,,,-118.54331200000001,34.44307020000001,Google
602.0,"4319B  ELKHORN BLVD., SACRAMENTO, CA, 95842",True,Exact,"4319 ELKHORN BLVD, SACRAMENTO, CA, 95842",133427782.0,L,6.0,67.0,7429.0,3006.0,-121.36263999999998,38.694492,Census
603.0,"910  PACIFIC COAST HWY, WILMINGTON, CA, 90744",True,Exact,"910 PACIFIC COAST HWY, WILMINGTON, CA, 90744",141691535.0,R,6.0,37.0,294620.0,3000.0,-118.251915,33.79104,Census
604.0,"4300  GREEN RIVER RD  # 108, CORONA, CA, 92880",True,ROOFTOP,,,,,,,,-117.64907029999999,33.8779005,Google
605.0,"83957  INDIO BLVD, INDIO, CA, 92201",True,ROOFTOP,,,,,,,,-116.2004439,33.709677299999996,Google
606.0,"1963 HWY 111, EL CENTRO, CA, 92243",True,Non_Exact,"1963 STATE RTE 111, EL CENTRO, CA, 92243",640431128.0,L,6.0,25.0,11300.0,2000.0,-115.50085,32.796852,Census
607.0,"1008 AVE M14  STE A D180, PALMDALE, CA, 93551",True,ROOFTOP,,,,,,,,-118.14843700000002,34.63272329999999,Google
608.0,"4500  BEEMAN AVE, STUDIO CITY, CA, 91604",True,Exact,"4500 BEEMAN AVE, STUDIO CITY, CA, 91604",141563883.0,R,6.0,37.0,143400.0,2011.0,-118.4073,34.15253,Census
609.0,"16309  SAN, JACINTO FOUNTAIN VALLEY, CA, 92708",True,ROOFTOP,,,,,,,,-117.9240077,33.726487299999995,Google
610.0,"1611  BEVERLY GLEN BLVD, LOS ANGELES, CA, 90024",True,Non_Exact,"1611 S BEVERLY GLEN BLVD, LOS ANGELES, CA, 90024",141571318.0,R,6.0,37.0,265700.0,2009.0,-118.424995,34.059475,Census
611.0,"7906  TARMA ST, LONG BEACH, CA, 90808",True,Non_Exact,"7906 E TARMA ST, LONG BEACH, CA, 90808",141746476.0,R,6.0,37.0,555202.0,2011.0,-118.07773999999999,33.81812,Census
612.0,"8363  RESEDA BLVD STE 205, NORTHRIDGE, CA, 91324",True,Exact,"8363 RESEDA BLVD, NORTHRIDGE, CA, 91324",141541564.0,L,6.0,37.0,115404.0,2009.0,-118.53608999999999,34.222057,Census
613.0,"10524  VARIEL AVENUE, CHATSWORTH, CA, 91311",True,Exact,"10524 VARIEL AVE, CHATSWORTH, CA, 91311",141532027.0,R,6.0,37.0,113101.0,2002.0,-118.59293999999998,34.26153,Census
